% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.644190524e+01 +8.644190524e+01 -9.135580948e+02 -9.135580948e+02 +3.1534e+00 +3.9455e+00 +2.6755e+00 +4.6946e+00 +2.2582e+00 +3.7314e+00 +5.9065e-01 -1.6364e+00 -2.9118e+00 -4.3903e+00 -1.0197e+00 -1.0525e+00 -2.7272e+00 -2.5345e+00 +3.5555e+00 +2.1159e+00 -4.9257e+00 -4.3390e+00 -1.3508e+00 +1.6906e+00
10 +8.446385694e+01 +8.446385694e+01 -9.155361431e+02 -9.155361431e+02 +4.7723e-01 -4.2633e+00 +1.0647e+00 -3.7571e+00 +3.3499e+00 -1.2094e+00 -2.6194e+00 +1.9414e+00 +1.0283e+00 -8.6458e-01 +4.7829e+00 +1.6199e+00 -1.7868e+00 +2.3516e+00 +2.0370e+00 -1.3394e+00 -2.3918e+00 -9.4507e-01 +2.7032e+00 -2.6207e+00
94 +8.093779305e+01 +8.093779305e+01 -9.190622070e+02 -9.190622070e+02 -4.3496e+00 -9.3712e-01 +1.4528e+00 +1.3837e+00 +2.5489e-01 +3.6395e+00 -4.9838e-02 +1.0614e+00 +1.4811e-02 -6.4897e-01 -2.1123e+00 -6.1655e-01 -2.4110e+00 +4.5479e+00 -8.2763e-01 +2.2432e+00 -7.3239e-01 +7.9151e-01 +3.7436e-02 +2.9378e+00
854 +7.628498581e+01 +7.628498581e+01 -9.237150142e+02 -9.237150142e+02 +1.4228e+00 -3.6611e+00 +3.9848e+00 +1.7844e+00 -8.0074e-01 -9.3113e-01 -1.8877e+00 +1.8732e+00 +4.7393e+00 +9.3445e-01 -4.9351e+00 +1.0176e-01 -3.4123e+00 -3.5521e+00 +4.1372e-01 -4.6480e+00 +5.2293e-01 +7.1420e-01 +3.1463e+00 +2.7445e+00
4609 +7.401505617e+01 +7.401505617e+01 -9.259849438e+02 -9.259849438e+02 +2.3979e+00 -2.4518e+00 +1.8393e+00 +2.7291e-01 +7.5566e-01 -2.6965e+00 +1.7387e+00 +1.1610e+00 +1.6391e+00 -4.4671e+00 -4.4300e+00 +3.4132e+00 +5.0998e-01 -1.6669e+00 +3.8081e+00 -4.9714e+00 -3.3363e+00 +8.0136e-01 +1.3816e+00 +4.6297e+00
11934 +7.184202669e+01 +7.184202669e+01 -9.281579733e+02 -9.281579733e+02 -4.6551e+00 -1.5809e+00 +4.8255e+00 -4.1577e+00 -1.6736e+00 -3.7186e+00 -2.8118e+00 -4.1130e+00 +1.1287e+00 +3.0824e+00 +2.7674e+00 +8.5802e-02 -5.2539e-01 -1.2214e+00 -3.5600e+00 -4.9293e+00 +4.5445e+00 +4.7225e+00 -3.0485e+00 -4.1736e+00
30898 +6.859302905e+01 +6.859302905e+01 -9.314069710e+02 -9.314069710e+02 -2.1937e+00 -1.8318e+00 +1.6767e+00 +1.3870e+00 +1.5186e+00 -2.7277e+00 +4.3213e+00 +3.2125e+00 -9.0149e-01 -3.4995e+00 -8.3566e-01 +4.1666e-01 +3.9158e+00 +1.5418e+00 +3.9235e+00 -2.8231e+00 +9.5094e-01 -2.8150e+00 +1.2016e+00 +1.8933e+00
47930 +6.622808741e+01 +6.622808741e+01 -9.337719126e+02 -9.337719126e+02 -2.2445e+00 -1.1552e+00 +6.7714e-01 -4.4954e+00 -2.5184e+00 -3.3647e+00 -8.4384e-01 -3.3797e+00 -2.3330e+00 +1.3963e+00 +4.0538e+00 -3.9546e+00 +4.1797e+00 -2.5308e+00 -2.7270e+00 -3.2667e+00 +1.3155e+00 -5.3847e-01 +1.0456e+00 -7.5323e-03
53226 +6.382473984e+01 +6.382473984e+01 -9.361752602e+02 -9.361752602e+02 -7.9406e-01 -2.6749e+00 +3.5202e+00 -2.2762e+00 -4.4373e+00 -2.7077e+00 -3.0723e+00 -4.0133e+00 +1.7001e+00 -5.8672e-01 +2.2673e+00 +4.4046e+00 -4.6606e+00 +6.0988e-01 +2.6340e+00 +3.7452e+00 -1.7885e+00 -2.3690e+00 -2.5572e+00 +3.7903e+00
58861 +6.241908978e+01 +6.241908978e+01 -9.375809102e+02 -9.375809102e+02 +2.0775e+00 +4.0029e+00 +3.9963e+00 -9.7965e-01 -2.9608e-01 -1.0396e+00 +1.8522e+00 -2.3833e+00 +3.2298e+00 +3.7751e+00 -2.0654e+00 -2.3942e+00 +6.4369e-01 -2.0253e+00 +7.5817e-01 +1.4682e+00 +3.4155e+00 -2.8556e+00 +3.5817e+00 -4.5718e+00
129843 +3.667957054e+01 +3.667957054e+01 -9.633204295e+02 -9.633204295e+02 +4.6273e+00 -3.8544e+00 +1.8864e+00 +2.2638e+00 -2.4376e+00 +2.2108e+00 -3.0567e+00 +4.7071e+00 +2.5391e+00 +6.3896e-01 -1.5793e+00 +1.1010e+00 -3.6335e+00 -1.4823e+00 +1.7088e+00 -5.8534e-01 +4.6038e+00 +3.1536e+00 +2.1989e+00 +3.5272e+00
15046998 +1.842530975e+01 +1.842530975e+01 -9.815746902e+02 -9.815746902e+02 +1.5763e+00 -3.7783e+00 +1.7509e+00 +2.5808e+00 -3.3896e+00 -6.7623e-01 -3.1152e+00 +3.1557e+00 +4.2835e+00 +4.0513e-02 -3.1402e+00 +2.2112e+00 -2.1014e+00 -1.8155e+00 +5.1777e-01 +9.3417e-01 +3.3039e+00 +4.7479e+00 +2.9800e+00 +1.8117e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.631689406e+01 +8.631689406e+01 +1.086316894e+03 +1.086316894e+03 -3.1660e+00 -1.5819e+00 -4.8619e+00 -3.9218e+00 +4.9208e+00 +4.9825e+00 +4.1379e+00 +1.3298e+00 -2.8343e+00 -4.9223e+00 -9.6949e-01 +1.1176e+00 -2.4324e+00 -3.1189e-01 +1.1931e+00 +1.3591e+00 -3.9220e+00 -4.0756e+00 +3.6747e+00 +3.1773e+00
