% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.618333873e+01 +8.618333873e+01 +1.269633387e+02 +1.269633387e+02 +3.9741e+00 +5.6590e-01 +2.7452e-01 +4.7609e+00 -3.9597e+00 +6.8508e-01 +4.7777e+00 -3.0096e+00 +1.5384e+00 +4.8445e+00 +3.5103e+00 +4.3735e+00 -1.2834e+00 +2.3077e+00 +4.3453e+00 +2.2542e+00 -4.7294e-01 -1.5387e+00 +4.3986e+00 +4.1790e+00
3 +8.414057989e+01 +8.414057989e+01 +1.249205799e+02 +1.249205799e+02 -1.8489e+00 +1.9065e+00 +8.4165e-01 -4.5139e+00 -2.2361e+00 +1.7952e+00 -4.3682e+00 +3.2171e+00 -2.8218e+00 +4.3628e+00 -5.0537e-01 -6.2177e-01 +4.4307e+00 +1.6236e+00 -4.7226e+00 +1.2149e+00 +2.6260e+00 +3.8275e+00 +3.5018e+00 -4.3734e+00
4 +8.211365514e+01 +8.211365514e+01 +1.228936551e+02 +1.228936551e+02 -1.7564e+00 -9.3580e-01 -1.9310e+00 -2.0607e+00 +2.4559e+00 -4.5289e+00 -4.4575e+00 -4.5498e+00 -1.5018e-01 -4.8043e+00 -3.3380e+00 -3.4733e+00 -2.4622e-01 -2.9422e+00 -2.9552e+00 -4.9319e+00 -1.2389e-01 -2.8759e-01 -6.0968e-01 -4.9519e+00
22 +8.062624168e+01 +8.062624168e+01 +1.214062417e+02 +1.214062417e+02 -3.8761e-01 +4.7947e-01 -3.4047e+00 +2.8429e+00 -2.3067e+00 +9.2985e-01 -1.7894e+00 +3.9947e+00 -9.9665e-01 +1.3496e+00 +2.3387e+00 +3.3017e+00 -9.8261e-01 -1.1695e+00 +7.1818e-01 +2.6740e-02 -1.7165e+00 -2.4640e+00 -8.2387e-01 +3.2644e+00
58 +7.762531780e+01 +7.762531780e+01 +1.184053178e+02 +1.184053178e+02 -4.2948e+00 +1.6300e+00 +2.5314e+00 +1.9046e+00 -1.3507e+00 -2.4256e+00 -4.0400e+00 +1.5329e+00 +1.8788e+00 -3.1806e+00 -3.6647e+00 -2.2618e+00 -1.1695e-01 +3.0991e+00 -1.0611e-01 -5.2483e-01 +4.0958e+00 +1.4968e+00 +1.6570e+00 +2.9996e+00
162 +7.398727349e+01 +7.398727349e+01 +1.147672735e+02 +1.147672735e+02 -4.9508e-01 -4.0418e+00 -3.1386e+00 -2.6537e+00 -3.7762e+00 -4.8216e+00 -1.1002e+00 +1.3938e+00 -1.6690e-02 -4.1108e+00 +1.0243e+00 -3.2594e+00 -8.2578e-01 +3.0837e+00 -6.2344e-01 -3.2755e+00 +8.8103e-01 -1.6887e+00 +1.3183e+00 -6.6568e-01
704 +7.137858713e+01 +7.137858713e+01 +1.121585871e+02 +1.121585871e+02 -1.2321e+00 +4.4907e+00 +2.9346e+00 +9.3627e-01 -2.1595e+00 +1.7746e+00 -3.5004e-01 -1.0585e+00 +1.1832e+00 -4.0863e+00 +4.1621e+00 -2.7607e+00 +4.7550e+00 +4.0552e+00 +8.7042e-02 +4.3480e-01 -3.5097e-02 +1.9720e+00 +1.4875e+00 +2.7159e+00
1634 +6.531518212e+01 +6.531518212e+01 +1.060951821e+02 +1.060951821e+02 -4.9606e+00 -4.6206e+00 +3.2424e+00 +1.0527e+00 -4.2900e+00 -2.3481e+00 -3.0155e+00 -3.5274e+00 +3.9235e+00 -3.5707e+00 +1.1058e-01 -4.3393e+00 +1.1723e+00 -5.5153e-01 -3.3591e+00 -1.9949e+00 +7.5923e-01 +2.9968e+00 -2.4556e+00 +8.0715e-01
9099 +5.997918900e+01 +5.997918900e+01 +1.007591890e+02 +1.007591890e+02 -4.5001e+00 -8.4754e-01 +2.5532e+00 -2.7459e+00 -3.9272e+00 -1.3400e+00 +6.2091e-01 -1.6860e-01 +1.6675e+00 -2.6303e+00 +1.8424e+00 -2.5753e+00 +2.5713e+00 +1.1177e+00 -2.1905e+00 -8.4575e-01 -1.4118e+00 +2.0489e+00 +5.9800e-01 -2.0339e+00
49558 +5.884064564e+01 +5.884064564e+01 +9.962064564e+01 +9.962064564e+01 +5.8890e-01 -3.6595e+00 +4.6408e+00 -7.4536e-03 -7.2955e-01 -1.1453e+00 -4.0368e+00 +5.1901e-01 +3.3617e+00 +6.4152e-02 -4.4969e+00 +8.4442e-01 -6.8316e-01 +1.3523e+00 +3.9777e+00 -3.6839e+00 +3.1933e+00 +4.3683e+00 -1.4321e+00 -1.1531e+00
