% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.180784255e+03 +3.180784255e+03 +3.273724255e+03 +3.273724255e+03 -3.0887e+00 -5.5976e-01 +4.2375e+00 +1.4176e+00 +2.1788e+00 -2.5301e+00 +5.7716e-01 -1.8181e+00 -4.1191e+00 -3.8453e+00 -1.6069e+00 -4.1101e+00 +2.9175e+00 +1.6944e+00 -8.1367e-02 +1.8290e+00 +4.4515e+00 -1.5796e-01 +1.4263e+00 +4.7081e-01
2 +2.792616043e+03 +2.792616043e+03 +2.885556043e+03 +2.885556043e+03 -1.1635e+00 -8.0726e-01 +1.8742e+00 -1.2462e+00 +1.7321e+00 +2.4590e-01 -2.0537e+00 +2.9631e+00 -4.2759e+00 +4.2094e+00 -4.3696e+00 -3.3400e+00 +3.9620e+00 +1.3435e+00 +2.1200e+00 +3.6303e+00 -3.0865e+00 +1.1553e+00 -1.6481e+00 +5.0373e-01
3 +9.936240421e+02 +9.936240421e+02 +1.086564042e+03 +1.086564042e+03 -1.7157e+00 -4.3764e+00 -2.9803e+00 +3.2000e+00 +1.8106e+00 -1.0814e+00 -2.7273e+00 -2.8994e+00 +2.7792e+00 +2.9325e+00 +1.2350e+00 -2.0734e+00 +3.1887e+00 +9.2850e-01 +6.4466e-01 -8.9257e-01 +2.0335e+00 -2.3747e+00 -3.2818e+00 +1.7493e+00
12 +7.784653911e+02 +7.784653911e+02 +8.714053911e+02 +8.714053911e+02 +7.5263e-01 +9.1254e-01 -4.7074e+00 +4.3382e+00 +3.3888e+00 +1.1738e+00 -5.1081e-01 +7.4124e-01 +4.6490e+00 -5.0578e-01 -3.3793e+00 +2.2835e+00 +1.8513e+00 +1.8050e+00 +3.4604e+00 -1.5486e+00 +4.8116e+00 -4.7365e+00 -1.3089e+00 -1.0465e+00
136 +4.126142920e+02 +4.126142920e+02 +5.055542920e+02 +5.055542920e+02 +2.2961e+00 -3.4555e+00 -4.7361e+00 -4.1270e-01 +2.2788e+00 +3.6973e+00 +4.3550e+00 +8.5861e-01 +4.4278e+00 +2.6673e+00 +1.6143e+00 -4.5060e+00 -2.3805e+00 +5.7570e-01 +3.5193e+00 +1.8931e+00 +9.3773e-01 -3.4119e+00 -4.2468e+00 +2.5317e+00
1962 +3.481439709e+02 +3.481439709e+02 +4.410839709e+02 +4.410839709e+02 -1.0973e-01 -1.7996e+00 +8.0290e-01 +4.3533e+00 +4.7970e+00 +1.3374e+00 -3.5573e+00 +1.6083e+00 +4.3632e+00 +3.7780e+00 +3.4804e+00 -4.6367e+00 -1.8831e+00 +2.3631e-01 +2.6787e+00 +3.7745e+00 +1.0495e+00 -2.8813e+00 +2.6715e+00 -3.3058e+00
6662 +3.458590133e+02 +3.458590133e+02 +4.387990133e+02 +4.387990133e+02 -3.2872e+00 -1.5757e-01 -2.6399e+00 +3.0684e+00 +9.0443e-01 +2.0601e+00 +1.2786e+00 +2.5174e-01 +2.9110e+00 +2.5239e+00 -1.3652e+00 -4.5314e+00 +1.0207e+00 +3.1250e+00 +9.0975e-02 -8.3356e-01 +1.6891e+00 -1.3996e+00 -4.2625e+00 -1.4834e+00
23730 +3.159165335e+02 +3.159165335e+02 +4.088565335e+02 +4.088565335e+02 -7.2165e-01 +4.4035e+00 +4.3912e+00 +2.2594e+00 +2.5094e+00 +4.5167e+00 +4.8009e+00 -1.5152e+00 +4.2623e+00 +3.9494e+00 -4.3377e+00 +5.9961e-01 +4.4372e+00 +2.9421e-03 -1.6637e+00 -3.5962e+00 +4.8644e+00 -4.3450e+00 -1.1515e+00 -3.9341e-01
84812 +2.881928000e+02 +2.881928000e+02 +3.811328000e+02 +3.811328000e+02 -2.4697e+00 +4.6406e-01 -1.4786e+00 +1.3115e+00 -1.3123e+00 +4.8714e+00 +3.0340e+00 -2.6755e+00 +1.8240e+00 -1.0657e+00 -1.4922e+00 -4.6567e+00 -1.3176e+00 +2.6152e-01 +1.3780e+00 +3.1135e+00 +2.9900e+00 -1.6653e+00 +1.6758e+00 +2.8313e+00
110731 +2.797138853e+02 +2.797138853e+02 +3.726538853e+02 +3.726538853e+02 -2.3768e+00 -1.2020e+00 -6.3182e-01 +4.7339e+00 -2.9333e-01 +4.5065e+00 +1.3900e+00 -2.3053e+00 +4.2847e+00 +3.8890e+00 +1.1216e+00 -1.3249e+00 -3.5503e+00 -1.2458e+00 +5.2522e-01 +1.4998e+00 +3.2621e+00 -3.1610e+00 +1.2423e+00 -2.7684e+00
