% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.877961697e+02 +2.877961697e+02 +2.785861697e+02 +2.785861697e+02 -2.9293e+00 +1.9940e+00 +3.9306e+00 +4.2361e+00 +9.4451e-01 +3.2239e+00 +1.1342e+00 +3.1297e+00 -3.0065e+00 +6.1722e-01 -2.6828e+00 -2.5117e+00 +1.4942e+00 +4.1254e-01 -4.8652e+00 +1.6347e+00 +3.4943e+00 +3.4102e+00 -2.3795e+00 -1.8752e+00
95 +2.614654514e+02 +2.614654514e+02 +2.522554514e+02 +2.522554514e+02 -2.1132e+00 +1.6937e+00 +4.6497e-01 +2.6991e+00 -2.9003e+00 +1.9041e+00 +7.1625e-01 +4.1187e+00 +4.9961e+00 -1.5513e+00 +1.0967e+00 -1.0855e+00 +3.3336e+00 +4.4149e+00 +2.2668e+00 -3.9099e+00 +1.2874e+00 +4.7584e+00 +1.2105e+00 +1.3122e+00
117 +2.518218310e+02 +2.518218310e+02 +2.426118310e+02 +2.426118310e+02 +3.9513e-01 -2.7604e+00 -3.4202e+00 -3.2525e-01 -1.9043e+00 +1.4076e+00 +4.3132e+00 +1.4607e+00 +1.0045e+00 -3.8867e-01 +4.6131e+00 +1.9291e-01 +1.8216e+00 -1.7362e-01 -3.3098e+00 -4.5613e+00 +4.9467e+00 +1.4972e+00 -3.1371e+00 +2.2382e+00
223 +2.505319467e+02 +2.505319467e+02 +2.413219467e+02 +2.413219467e+02 -2.6525e-02 +4.2471e+00 +4.0233e-01 +2.9496e+00 +2.2215e+00 -4.4032e+00 +4.2058e+00 -6.2022e-01 -3.0292e+00 -1.8484e+00 +1.4215e+00 -4.9755e+00 +1.9507e+00 +9.8953e-03 +3.1122e+00 -3.4913e+00 +2.5524e+00 +4.5378e+00 -2.3288e+00 +4.5130e+00
433 +2.367461938e+02 +2.367461938e+02 +2.275361938e+02 +2.275361938e+02 +8.8221e-01 +4.1938e+00 -4.8455e+00 +4.3278e-01 -2.4849e+00 +4.6595e+00 +2.0661e+00 -4.4896e-01 +2.0060e+00 -4.1396e+00 +3.7701e+00 -4.8073e+00 -2.8233e+00 +4.0459e+00 +1.1176e+00 -2.3161e+00 -3.1697e-01 +4.7970e+00 -3.9947e+00 +3.7027e+00
594 +2.198562166e+02 +2.198562166e+02 +2.106462166e+02 +2.106462166e+02 -7.6496e-01 -1.2199e+00 +4.5719e+00 +1.5163e+00 -3.6129e-01 +4.9140e-01 +2.1106e+00 +4.6240e+00 +4.6972e+00 -3.3718e+00 -4.9048e+00 -4.2958e+00 +3.6359e+00 +3.5560e-02 +2.8510e+00 -3.6142e+00 +4.5337e+00 +4.2471e+00 -1.5499e+00 +6.8782e-02
656 +2.172140820e+02 +2.172140820e+02 +2.080040820e+02 +2.080040820e+02 -3.1444e+00 -4.6731e-01 +4.9037e-02 -1.2057e+00 +1.9641e+00 +2.4246e+00 +3.9997e+00 -2.8515e+00 -1.4203e+00 -4.1383e+00 -4.2295e+00 -4.5788e+00 +1.2186e-01 +4.7147e+00 +4.5094e+00 -2.2327e+00 +4.8793e+00 +4.9816e+00 -4.7750e+00 +1.6616e+00
960 +1.844164134e+02 +1.844164134e+02 +1.752064134e+02 +1.752064134e+02 -4.1025e+00 +3.6784e+00 +1.3200e+00 +5.6907e-01 -8.1840e-01 -4.1540e+00 -1.5068e+00 -1.8626e+00 +3.4341e+00 -1.1588e+00 -2.2945e+00 -2.0613e+00 +3.9867e+00 +2.0626e+00 -4.2486e+00 -3.9769e+00 +2.7010e+00 +4.3520e+00 -2.5812e+00 +4.7530e+00
3038 +1.640601318e+02 +1.640601318e+02 +1.548501318e+02 +1.548501318e+02 -1.5722e+00 -1.4184e+00 -6.9552e-01 +4.7875e+00 -3.9454e+00 -1.0499e+00 +4.0658e+00 +1.9477e+00 +1.4523e+00 +2.8036e-01 +4.6891e-01 -2.7765e+00 +1.7132e-01 +4.1122e+00 -7.3124e-01 -4.2721e+00 +4.6526e+00 +4.0692e+00 -4.3084e+00 +4.9644e+00
234201 +1.546116025e+02 +1.546116025e+02 +1.454016025e+02 +1.454016025e+02 -1.2807e+00 -2.5065e+00 +1.6623e+00 +4.3987e+00 -3.7052e+00 +3.4058e+00 -2.7940e+00 -3.8183e+00 +1.7926e+00 -3.6010e+00 -4.7313e+00 -4.5033e-01 +2.2827e+00 +4.6626e+00 -3.4372e+00 -4.6843e+00 +4.8290e+00 +3.9244e+00 -3.0384e+00 +3.8530e+00
