% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.150073749e+03 +1.687983749e+03 +1.687983749e+03 +2.3016e+00 -5.6268e-01 +2.2473e+00 +1.7850e-01 +7.2945e-01 +2.6879e+00 +2.4041e+00 +8.3656e-01 +2.8830e+00 -1.0182e+00 +2.1267e+00 +2.6245e+00 +1.2966e+00 -1.6976e+00 +1.4984e+00 -1.3446e+00 -2.7626e-01 +5.6042e-01 +2.4957e+00 +8.2593e-01
2 0 +1.887477802e+03 +1.425387802e+03 +1.425387802e+03 -2.0605e+00 -1.0517e+00 -2.1679e+00 +1.9063e+00 -2.8005e+00 -2.0259e+00 -4.9005e-01 -2.8825e+00 +1.5642e+00 -2.6190e+00 -9.0738e-01 +2.1436e+00 +2.8339e+00 +2.7525e+00 -1.0355e+00 -2.5724e-01 -2.0933e+00 -1.6951e+00 -2.5110e+00 -2.1490e+00
3 0 +8.154210846e+02 +3.533310846e+02 +3.533310846e+02 -1.3529e+00 +2.5633e+00 +2.9681e+00 +2.6764e+00 +1.5045e+00 -2.3983e+00 +2.5283e+00 -5.0666e-01 +1.6990e+00 -2.1786e+00 +2.5600e+00 -1.6258e+00 -9.9803e-01 +1.2911e+00 -9.3647e-01 -7.0038e-01 +7.2141e-03 +4.8941e-01 -2.5190e+00 +2.1780e+00
26 0 +7.020682176e+02 +2.399782176e+02 +2.399782176e+02 -2.8485e+00 -5.3946e-01 -3.0623e-01 +1.6768e-02 -2.0874e+00 +1.8638e+00 -6.3479e-01 -2.9529e+00 +2.4650e+00 +1.4128e+00 -7.2285e-01 -1.4592e+00 +8.5049e-01 -2.9795e+00 -2.0826e+00 -1.0185e+00 -1.8796e+00 +2.5038e+00 -9.5842e-01 -1.7584e+00
36 0 +4.484676383e+02 -1.362236168e+01 -1.362236168e+01 -8.6882e-01 -2.6289e+00 -7.8503e-02 +1.4071e+00 +2.8361e+00 -1.6394e+00 -4.2153e-01 +1.6147e+00 -1.3197e+00 +5.2390e-01 -8.3958e-01 -2.6449e+00 -2.6142e+00 -1.5772e+00 +1.0716e-01 -2.2042e+00 -2.7319e+00 +2.2240e+00 -2.8354e+00 +2.7281e+00
2038 0 +4.273141969e+02 -3.477580314e+01 -3.477580314e+01 -2.7667e+00 +1.4791e+00 -1.6094e+00 -9.7358e-01 -1.1069e+00 -3.5915e-01 -1.0430e+00 +1.7523e+00 +1.6986e+00 -1.4010e-01 -1.3404e+00 -1.8818e+00 +4.2433e-01 -2.9199e+00 -1.8955e+00 -1.3783e+00 +6.5894e-01 +1.4274e+00 -1.6960e+00 +1.4230e+00
5597 0 +4.046984913e+02 -5.739150875e+01 -5.739150875e+01 -3.1357e-01 +9.4713e-01 +2.8955e+00 -1.6788e+00 +9.9671e-01 -1.8074e+00 -2.9942e-01 -1.4882e+00 +1.1954e-01 -2.7594e+00 -2.6238e+00 -2.3721e+00 -2.6659e+00 -2.3259e+00 -2.8406e+00 -2.2532e+00 -5.6163e-01 +2.9628e+00 -1.1097e+00 +2.3631e+00
9495 0 +3.968076624e+02 -6.528233758e+01 -6.528233758e+01 -3.0859e-01 +1.5616e+00 +8.5014e-01 -1.7985e+00 +1.7304e-01 +9.7985e-02 +2.3875e+00 +1.3345e+00 +2.2045e+00 -1.3588e+00 -2.1931e+00 -7.9749e-01 -1.0395e+00 -2.0265e+00 -2.8510e+00 -2.7296e+00 -9.0907e-01 +2.5854e+00 -1.5215e+00 -5.9790e-01
12824 0 +3.871930226e+02 -7.489697743e+01 -7.489697743e+01 -3.2621e-01 -1.7045e+00 +2.4329e+00 -1.8625e+00 +2.2019e+00 +2.9386e+00 +1.8097e+00 +1.8190e+00 +2.5736e+00 -8.0097e-01 +6.5371e-02 -1.4174e+00 -2.8109e+00 -2.2222e+00 +3.8978e-02 -2.7757e+00 +1.0234e+00 +2.3179e+00 -1.3434e+00 +1.0294e+00
15632 0 +3.639924691e+02 -9.809753089e+01 -9.809753089e+01 +2.8016e+00 +2.8599e+00 +2.5478e+00 +2.2478e+00 -8.0587e-01 +8.2151e-01 +2.5875e+00 +2.0978e+00 +2.3760e+00 -2.9667e+00 -1.3863e-02 -8.7761e-01 -8.3272e-01 -1.3053e+00 -5.0823e-02 -1.9059e+00 +4.4141e-01 +2.1047e+00 -2.8238e+00 +2.1852e+00
37413 0 +3.388105158e+02 -1.232794842e+02 -1.232794842e+02 -1.2653e+00 +5.9777e-01 +1.6294e+00 +1.3079e+00 -1.5631e-01 +2.1619e+00 +2.6111e+00 -7.2819e-01 +6.2930e-01 -7.2743e-02 +3.0769e-01 -1.8771e+00 +9.1816e-01 -2.9938e+00 +1.4543e-01 -1.8687e+00 -2.7253e+00 +2.9523e+00 -1.8629e+00 +3.3204e-01
62484 0 +3.142803126e+02 -1.478096874e+02 -1.478096874e+02 -2.5089e+00 -1.4616e+00 +2.7001e+00 -9.7333e-01 -2.2885e+00 -2.6137e+00 +1.9019e+00 +2.1198e+00 +2.0754e+00 +2.4821e-01 -1.3897e+00 -2.3993e+00 +2.8038e-01 -2.5180e+00 -1.7806e+00 -2.3219e+00 -1.0135e+00 +2.4660e+00 -2.4219e+00 +1.9217e+00
221395 0 +2.978242231e+02 -1.642657769e+02 -1.642657769e+02 +7.8826e-01 +1.7531e+00 +7.8954e-01 -7.6462e-01 +1.9192e+00 +2.3039e+00 +1.3584e+00 +3.5220e-01 +9.7123e-01 +1.6840e-01 -1.3270e+00 -2.4982e+00 +4.1372e-01 -1.9752e+00 -1.2787e+00 -2.1070e+00 -1.2557e+00 +2.4717e+00 -1.6788e+00 +4.1442e-01
520549 0 +2.837669850e+02 -1.783230150e+02 -1.783230150e+02 -1.2658e+00 +6.4162e-01 +2.1752e+00 -2.4936e+00 +2.6816e+00 +2.2191e+00 +1.6966e+00 +6.3024e-01 -2.0638e-02 -2.9201e+00 -2.2130e+00 -2.2178e+00 +5.4375e-01 -1.1953e+00 -1.4806e+00 -1.8503e+00 -9.5297e-01 +2.6363e+00 -1.4565e+00 +2.6323e+00
763699 0 +2.688856836e+02 -1.932043164e+02 -1.932043164e+02 -1.2792e+00 -2.2485e+00 +2.1730e+00 +7.5219e-01 +2.1650e+00 +2.9789e+00 +2.1725e+00 +7.3205e-01 +2.6604e+00 +2.4583e+00 -2.8143e+00 -1.8807e+00 +1.0727e+00 -1.9262e+00 -9.7972e-01 -1.8137e+00 -1.7263e+00 +2.1420e+00 -1.9633e+00 +1.8716e+00
832607 0 +2.544342710e+02 -2.076557290e+02 -2.076557290e+02 +8.5065e-01 +1.6591e+00 +2.4270e-01 +8.1812e-01 +6.4118e-01 +2.0586e+00 +2.8053e-01 +4.5531e-01 -4.1123e-02 +6.2548e-01 -1.6522e+00 -1.8528e+00 +1.6304e+00 -1.6379e+00 -1.2764e+00 -2.8216e+00 +9.4776e-01 +1.9228e+00 -2.4641e+00 +1.7241e+00
8344661 0 +2.403538335e+02 -2.217361665e+02 -2.217361665e+02 +7.7804e-01 +1.8588e+00 +6.6819e-01 -6.6049e-01 +4.8407e-01 +2.7264e+00 +2.8870e+00 +1.9493e+00 +1.6967e+00 +1.5572e+00 -2.3459e+00 -2.9560e+00 -1.1504e+00 -1.7976e+00 -2.3426e+00 -2.9943e+00 -7.4907e-01 +2.2819e+00 -1.8508e+00 +2.5102e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.766000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.744983808e+03 +3.822643808e+03 +3.822643808e+03 -5.3539e-01 +5.7679e-01 +8.4480e-01 -1.7877e+00 +5.3647e-02 -2.7817e+00 +2.4594e+00 +1.1524e+00 +1.9610e+00 -5.4457e-01 +1.8147e+00 +2.9140e+00 -2.4649e+00 +2.3461e+00 +2.8288e+00 -2.2008e+00 +1.7393e+00 +1.1417e+00 +1.0262e+00 +2.5180e+00
2 0 +7.896505000e+02 +8.673105000e+02 +8.673105000e+02 -4.8270e-01 +1.2266e+00 +7.7870e-01 +1.0577e+00 -1.6741e+00 -9.7282e-01 -1.9306e+00 +2.3296e+00 -1.4097e+00 -2.7327e+00 -1.4923e+00 +2.3444e+00 +1.9175e-01 -2.4287e+00 -4.7662e-01 -1.0573e+00 +5.9058e-01 +2.7535e-01 +1.1358e+00 -4.2629e-01
8 0 +5.741562420e+02 +6.518162420e+02 +6.518162420e+02 +1.7034e-01 -2.0395e+00 -1.2298e+00 +2.1145e+00 -5.0799e-01 -2.6862e+00 +2.0718e+00 -1.0284e+00 -2.8010e+00 +9.6856e-01 +2.1300e+00 +6.9057e-01 +6.2821e-01 +1.2172e+00 +3.6712e-01 +7.9996e-01 +7.0529e-01 -1.7675e+00 +2.4171e+00 -2.4531e+00
