% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.268459575e+01 +7.268459575e+01 +1.440345957e+02 +1.440345957e+02 -3.1288e+00 -8.5724e-01 +2.8280e+00 -3.1457e+00 +4.7029e+00 -5.5358e-01 +4.3284e+00 -3.5078e+00 +2.4294e+00 +2.1492e+00 +3.8726e+00 -2.5442e+00 +4.2712e+00 +3.1011e+00 -4.0476e+00 -3.7135e+00 +4.7873e+00 -2.5887e+00 -1.9290e+00 +2.4588e+00
2 +6.309887093e+01 +6.309887093e+01 +1.344488709e+02 +1.344488709e+02 +4.0022e+00 +2.6884e+00 +1.2797e+00 +1.8771e+00 +2.0945e+00 +2.5196e+00 -3.4174e+00 -3.4428e+00 +2.4221e+00 -3.9623e+00 +2.7955e+00 +9.5508e-01 -1.6600e-01 +3.2601e+00 +2.7538e-01 -6.1946e-01 -1.2898e-01 +2.1543e-01 -2.9576e+00 -5.9465e-01
7 +6.169068306e+01 +6.169068306e+01 +1.330406831e+02 +1.330406831e+02 +2.5927e+00 -3.5281e+00 -3.0952e+00 -2.3239e+00 +4.6236e+00 -4.7120e+00 -3.4279e+00 +2.3816e+00 -1.5210e+00 +1.3427e+00 -1.3866e+00 -2.1553e+00 +4.2713e+00 -4.2941e+00 -2.7337e+00 +3.9062e+00 +4.2796e+00 -1.2628e+00 +1.3073e+00 -3.3540e+00
10 +6.127723811e+01 +6.127723811e+01 +1.326272381e+02 +1.326272381e+02 +3.9321e+00 -1.3734e+00 +4.1997e+00 +4.6694e+00 -4.7860e+00 +4.5585e+00 -3.8528e+00 +3.9147e-01 +3.6625e+00 -4.2166e+00 +4.2717e+00 -4.8138e+00 +4.4388e+00 +3.1159e+00 -1.7541e+00 +4.9386e+00 +6.7019e-01 -4.5898e+00 -1.2676e+00 +2.2110e+00
15 +3.941912487e+01 +3.941912487e+01 +1.107691249e+02 +1.107691249e+02 +1.2655e+00 -2.5878e+00 -1.8222e+00 +1.9412e+00 -5.4699e-01 +1.4269e+00 +4.4670e+00 +3.3730e+00 +5.2437e-01 +7.6771e-01 +1.0166e+00 +3.7478e+00 -4.4361e+00 +2.8379e+00 -4.1085e+00 +3.7841e+00 +4.7029e+00 +1.1133e+00 -2.2214e+00 -4.5425e+00
70 +3.212480388e+01 +3.212480388e+01 +1.034748039e+02 +1.034748039e+02 -2.8227e+00 -1.2185e-01 -3.4027e+00 +4.4074e+00 -1.4465e+00 -3.4440e+00 -5.5327e-01 +3.4027e+00 +1.8954e+00 -1.8327e-02 +2.7271e+00 +4.0923e+00 -1.9462e+00 -3.7082e+00 +4.4677e+00 -1.7908e+00 +3.4032e+00 +2.8192e+00 +1.0600e+00 +4.0859e+00
841 +3.121583399e+01 +3.121583399e+01 +1.025658340e+02 +1.025658340e+02 -3.1019e+00 +4.6997e+00 -4.0303e+00 +3.3526e+00 +7.5743e-01 -6.5806e-01 -2.4731e+00 -1.2040e+00 +2.5903e+00 +3.6395e+00 -9.5946e-01 -2.5245e+00 +3.0154e+00 +4.3954e+00 -4.6459e+00 -2.5920e+00 +2.8223e+00 -7.1684e-01 -5.5781e-01 -3.4688e+00
2052 +2.823607104e+01 +2.823607104e+01 +9.958607104e+01 +9.958607104e+01 +1.0130e+00 +4.5768e+00 -4.7195e-01 +4.5413e+00 -9.5689e-01 -1.5847e-01 +2.4749e+00 -1.4140e+00 -1.0109e+00 +2.8156e+00 -4.8427e+00 +3.1295e+00 +3.2611e+00 -1.8848e+00 +1.9497e+00 +3.5810e+00 -1.9900e+00 -1.9039e+00 -4.4987e+00 +1.5547e+00
4396 +2.536876118e+01 +2.536876118e+01 +9.671876118e+01 +9.671876118e+01 +1.2194e+00 -3.9754e+00 -8.1009e-02 +4.6292e+00 +1.9671e+00 +3.7994e+00 +2.2045e+00 +1.6984e+00 -7.0512e-01 -4.4741e+00 -5.0450e-01 -4.8743e+00 -9.9987e-01 +3.9940e+00 +8.6902e-01 +2.2826e-01 +1.5563e+00 -2.4128e+00 -2.8292e+00 +2.0401e+00
6531 +2.391654071e+01 +2.391654071e+01 +9.526654071e+01 +9.526654071e+01 -4.2254e+00 -1.8178e+00 +4.9435e+00 +1.3892e+00 -2.7756e+00 -2.0731e-01 -5.1709e-01 +3.9678e-01 +3.8426e+00 +3.1784e+00 -2.6675e+00 -1.9614e+00 +2.3244e+00 -4.7864e+00 +1.5165e+00 -2.9393e+00 +1.6188e+00 +2.5905e-01 -3.9940e+00 +2.2990e+00
12485 +2.247267149e+01 +2.247267149e+01 +9.382267149e+01 +9.382267149e+01 +4.4474e+00 +4.0752e-01 -1.1225e+00 +2.7010e-01 -1.8677e+00 +9.1369e-01 -5.9734e-01 -3.9479e+00 -1.8877e+00 -1.2622e+00 -7.9605e-01 -4.6315e+00 -4.9464e+00 -2.2331e+00 -4.5439e-01 +1.9801e+00 -1.8581e+00 -1.0411e-01 +2.9672e+00 -4.2668e+00
