% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.005014716e+02 +1.005014716e+02 +4.815147164e+01 +4.815147164e+01 +4.4237e+00 +2.4254e+00 +4.6715e+00 +4.0225e+00 +1.4965e-01 +4.6236e+00 +4.1890e+00 -2.3576e+00 +6.7023e-01 +4.8643e+00 -4.4071e+00 -1.4956e+00 -3.4305e+00 +2.4938e+00 -3.0360e+00 -2.8738e+00 +2.5656e+00 -4.0439e+00 +4.9077e+00 -4.7238e+00
8 +8.148334569e+01 +8.148334569e+01 +2.913334569e+01 +2.913334569e+01 -3.0231e+00 -3.1779e+00 +1.0955e+00 +2.1219e+00 -8.3883e-01 -1.4085e-01 -1.0291e+00 +6.0873e-01 -2.4856e+00 +2.4988e+00 +5.3250e-02 +3.1497e+00 -2.1773e+00 -3.8138e+00 +3.8163e+00 -2.0974e+00 -2.1356e-01 +3.1740e+00 -2.9878e+00 +1.2393e+00
43 +5.297822366e+01 +5.297822366e+01 +6.282236570e-01 +6.282236570e-01 +1.7776e+00 +4.7128e+00 +9.5304e-01 -4.5987e+00 -3.8685e+00 +1.3975e+00 -3.5288e+00 +1.1156e+00 -1.2514e+00 -2.6890e+00 -1.3782e+00 +3.6336e+00 +1.6408e+00 -3.4016e+00 -4.6037e-01 -9.4197e-02 -4.8340e+00 +2.9996e-01 +3.4410e+00 -4.1518e+00
125 +4.077523433e+01 +4.077523433e+01 -1.157476567e+01 -1.157476567e+01 -4.3821e+00 -3.0188e+00 +9.6104e-01 +3.4513e+00 -2.8888e+00 +4.2175e+00 -3.0109e+00 -4.1669e+00 +2.8966e+00 -8.3313e-01 +2.2928e+00 -3.6019e+00 +2.3594e+00 +2.3835e-01 +2.2394e-01 +4.5724e+00 -2.6515e-01 +4.4000e+00 +3.6551e-01 -2.9042e+00
141 +3.236591119e+01 +3.236591119e+01 -1.998408881e+01 -1.998408881e+01 -1.1650e+00 -7.0636e-03 -1.5771e-01 -1.5828e+00 -1.8462e+00 -6.5742e-01 -4.5314e+00 +1.3308e+00 +1.5411e+00 -4.9260e+00 +9.7569e-01 +5.3408e-01 +3.3271e+00 -4.1356e+00 +3.9483e+00 -1.0319e+00 +3.9167e+00 +3.4901e+00 -7.3601e-01 -2.4932e+00
497 +3.164575796e+01 +3.164575796e+01 -2.070424204e+01 -2.070424204e+01 +4.0572e-01 -2.7017e-02 +3.5948e+00 +5.7130e-01 -1.1626e-01 +4.8123e+00 -2.1680e+00 -4.3414e-01 +4.6591e+00 -3.7414e+00 +1.4643e+00 -2.2043e+00 +4.9455e-01 +4.9483e+00 +6.0085e-01 -1.9654e+00 +2.2594e+00 -8.0600e-01 +2.9735e+00 -1.8346e+00
932 +3.115593896e+01 +3.115593896e+01 -2.119406104e+01 -2.119406104e+01 -4.4215e+00 -4.9148e+00 +4.8333e+00 -1.4463e+00 -6.0914e-01 +1.5832e+00 -1.8160e+00 +1.7517e+00 +1.0262e-01 -9.6661e-01 +4.7989e+00 +6.5949e-02 +2.0723e+00 +8.0833e-02 -1.3482e+00 +3.6678e+00 -3.6614e-01 -1.3091e+00 +1.1528e+00 -2.1981e+00
1245 +3.042200337e+01 +3.042200337e+01 -2.192799663e+01 -2.192799663e+01 -1.3050e+00 -1.4280e+00 +3.8179e+00 -2.0591e+00 -1.3099e+00 +2.7553e+00 -1.5783e+00 +1.4462e+00 +4.5751e+00 -4.5540e+00 -1.9347e+00 +3.3877e+00 +3.5691e+00 -1.2397e+00 +4.2759e-01 +1.0030e+00 -4.8195e+00 +2.1082e+00 +7.2748e-01 -3.9854e+00
3721 +2.381554820e+01 +2.381554820e+01 -2.853445180e+01 -2.853445180e+01 +2.1620e+00 -4.8225e+00 +4.6174e-02 -1.8927e+00 +3.4317e-01 -1.5238e+00 +2.8272e+00 -4.9899e+00 +2.5157e+00 -1.1493e+00 -1.5217e+00 -3.3229e+00 -9.1924e-01 +1.3858e+00 -2.0886e-01 -3.5222e-02 +2.2807e+00 +7.8727e-01 +3.3954e+00 -3.9108e+00
12402 +1.908762508e+01 +1.908762508e+01 -3.326237492e+01 -3.326237492e+01 +2.8829e-01 +2.2790e-01 +7.9026e-01 -1.2737e+00 -4.8474e+00 +2.6169e+00 -3.0826e+00 -2.5168e+00 -4.7074e-01 -4.4511e+00 -2.0630e+00 +1.0266e+00 +3.5465e+00 +6.2146e-02 +3.0526e+00 -2.6269e+00 -3.2414e+00 -4.1006e-01 +2.6242e+00 -2.0058e+00
19297 +1.611459250e+01 +1.611459250e+01 -3.623540750e+01 -3.623540750e+01 +7.9817e-02 -2.3231e+00 +2.1166e+00 -2.6114e+00 -4.7451e-01 +9.9554e-01 -3.5051e+00 -9.5875e-02 +2.4603e+00 -1.0029e+00 +4.9757e+00 -4.9542e+00 +3.0253e+00 -6.7072e-01 -4.7850e+00 +1.5315e+00 +3.8518e+00 +1.6583e+00 +3.7413e+00 -3.8330e+00
21873 +1.527873758e+01 +1.527873758e+01 -3.707126242e+01 -3.707126242e+01 +2.1190e+00 -3.1546e+00 -4.9867e-03 +2.5402e-01 -2.1830e+00 +1.0392e+00 -2.1595e+00 +1.2896e+00 +2.1946e+00 +2.3495e-01 +1.7787e+00 -1.9357e+00 +2.3641e+00 -4.5906e-01 +4.2131e-01 -3.4613e+00 -3.5225e+00 +1.3394e+00 +3.8317e+00 -3.3655e+00
116077 +1.494985753e+01 +1.494985753e+01 -3.740014247e+01 -3.740014247e+01 +1.1600e+00 -3.9873e-01 -7.3710e-01 +1.2514e+00 +3.5173e-01 +3.1051e+00 -3.0251e+00 -1.1854e+00 +3.9556e+00 -2.9564e+00 +2.4675e+00 -2.7879e+00 +3.5613e+00 +4.3954e-01 -2.5959e-01 +1.4436e-01 +1.3978e+00 +2.2248e+00 +4.7076e+00 -2.0873e+00
