% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.461918288e+01 +4.461918288e+01 -5.793081712e+01 -5.793081712e+01 +2.3768e+00 -4.2493e+00 +1.2813e+00 +1.6012e+00 -2.4908e+00 +3.4440e+00 -3.8078e+00 +2.0055e+00 -2.7699e+00 -3.9354e+00 -2.6352e+00 -2.1410e+00 -4.4858e+00 -1.6456e+00 +4.6697e-01 -6.0077e-01 +3.0813e+00 -4.7821e+00 -3.6580e+00 +1.0025e+00
5 +4.080500108e+01 +4.080500108e+01 -6.174499892e+01 -6.174499892e+01 +1.0948e+00 +1.3824e+00 -2.7362e-01 +2.6945e+00 +1.1720e+00 +4.1055e+00 -1.0880e+00 +4.0342e+00 +2.9976e+00 +4.2510e+00 +3.1003e+00 -9.7447e-01 -4.0820e+00 -3.6820e+00 +6.9234e-01 +1.2394e+00 +1.8039e+00 -9.6403e-01 -4.2940e+00 -3.5285e+00
6 +2.855199143e+01 +2.855199143e+01 -7.399800857e+01 -7.399800857e+01 -7.2873e-01 -2.5276e+00 -7.3139e-01 +6.4399e-01 +4.1765e+00 +4.8169e+00 -2.2569e+00 -1.0567e+00 -2.8777e+00 +2.5125e+00 -2.0905e+00 +3.6091e+00 +8.7829e-01 +2.2438e+00 +1.3077e+00 +4.4209e-01 -4.1621e+00 +2.5843e+00 -3.5991e+00 +3.5327e+00
7 +2.158470644e+01 +2.158470644e+01 -8.096529356e+01 -8.096529356e+01 -3.9577e+00 -2.9684e+00 +4.0048e+00 -1.9281e+00 -1.1094e+00 +1.2964e+00 +1.4576e+00 -4.4775e-01 -1.7246e+00 +7.5048e-01 +1.3392e+00 +3.4863e+00 -1.0619e+00 +2.1734e+00 +1.9955e+00 +1.3892e-01 +1.8116e+00 -2.7428e+00 -2.1964e+00 -1.0413e+00
27 +1.553329891e+01 +1.553329891e+01 -8.701670109e+01 -8.701670109e+01 +4.7630e+00 -1.3372e+00 +1.6440e+00 -1.0734e+00 -1.5505e+00 +3.1673e+00 +1.4415e-01 +3.3590e+00 -1.5558e+00 -4.8122e-01 +2.8897e+00 +1.1817e+00 -2.0509e-01 -3.7278e+00 -1.0894e+00 +1.3749e+00 -9.1372e-01 -7.9273e-01 -2.9647e+00 +8.0095e-01
834 +1.548759186e+01 +1.548759186e+01 -8.706240814e+01 -8.706240814e+01 -5.0789e-01 -2.7566e+00 +6.8485e-01 -2.4290e+00 -5.9818e-01 +1.1880e+00 +1.2176e+00 +2.5843e+00 -1.5143e+00 -4.8323e+00 -1.4013e+00 +9.3673e-01 +2.8408e+00 -1.3972e-01 +1.5773e+00 +2.4249e+00 +2.6086e+00 -1.5165e+00 -2.3187e-01 +1.2073e+00
1265 +1.392403977e+01 +1.392403977e+01 -8.862596023e+01 -8.862596023e+01 +3.1216e+00 -3.0195e+00 +9.9491e-01 +5.6209e-02 -8.9286e-01 +5.2130e-01 +3.0206e+00 +1.0955e+00 +1.5672e+00 -3.7768e+00 -4.4206e-01 -6.4152e-01 +2.3033e-01 +9.2557e-01 +1.1496e+00 -3.0704e-01 +9.3998e-02 -3.6528e+00 +5.9672e-01 +2.6848e+00
6124 +1.373652564e+01 +1.373652564e+01 -8.881347436e+01 -8.881347436e+01 -3.9583e+00 +1.3173e+00 -3.5671e+00 -8.2998e-01 -2.3168e-01 -2.3478e-01 +1.6613e-01 -2.7349e+00 +2.1948e+00 +4.9408e+00 -1.2442e+00 +7.3268e-01 -2.3381e+00 -1.2861e+00 +1.5481e+00 -3.0616e+00 +3.5943e+00 -6.6015e-01 +1.2982e+00 -2.2190e+00
7855 +1.210283537e+01 +1.210283537e+01 -9.044716463e+01 -9.044716463e+01 +2.9842e-02 -3.9702e-01 +4.6581e+00 -1.4552e+00 -2.7555e+00 -7.7115e-02 +3.4796e-02 +6.2828e-01 -3.2869e-01 +1.0194e-01 -1.0868e+00 +4.4404e-01 -2.4422e-01 -9.4665e-02 -2.3717e+00 -1.6736e+00 -7.6546e-02 -6.9000e-01 -8.0510e-01 +1.1290e+00
113010 +1.184762410e+01 +1.184762410e+01 -9.070237590e+01 -9.070237590e+01 +3.5882e+00 +1.1220e+00 +1.6062e+00 -1.4774e+00 +2.0022e+00 +9.6507e-01 -2.2293e+00 -1.7768e+00 +9.4354e-01 -1.9594e+00 -2.5495e+00 +9.1704e-01 -5.4889e-02 -9.2609e-01 -4.4225e-01 -4.4034e-01 -1.3236e+00 -4.0391e+00 -5.7675e-01 +3.0673e+00
206465 +1.133040891e+01 +1.133040891e+01 -9.121959109e+01 -9.121959109e+01 +1.1185e+00 -1.3797e+00 +1.3851e-01 +4.2312e-02 +9.8845e-03 -7.1535e-01 +2.9225e+00 -5.7042e-01 -1.6782e+00 +2.8711e-01 -1.4908e-01 +1.0975e+00 +1.4560e+00 +8.8792e-01 +3.4243e+00 -2.6095e+00 -1.7756e+00 +4.3212e+00 +3.1361e-03 -9.5273e-01
207210 +1.075796993e+01 +1.075796993e+01 -9.179203007e+01 -9.179203007e+01 -1.9338e+00 +5.6405e-01 +8.5691e-01 -3.6914e-02 -1.9609e+00 +1.7925e+00 -1.9749e-01 +2.1871e+00 -8.5674e-01 +3.3574e+00 -1.3946e+00 +5.0127e-02 +2.2676e-01 +1.2862e+00 +1.1567e+00 -2.5197e+00 -1.3037e+00 -2.5518e+00 -5.0804e-01 -6.3592e-01
478018 +1.063944500e+01 +1.063944500e+01 -9.191055500e+01 -9.191055500e+01 +3.4839e+00 -2.6121e+00 -5.6952e-01 +4.8730e-01 +1.8443e+00 +2.1804e+00 +1.2023e+00 -1.5831e-01 -7.9728e-01 -3.0201e+00 -1.0250e+00 -2.7521e+00 +3.1362e+00 -8.9999e-01 -2.4136e+00 -1.8512e+00 +3.0030e+00 -3.8125e+00 -2.1686e+00 +3.8160e+00
627687 +9.986642556e+00 +9.986642556e+00 -9.256335744e+01 -9.256335744e+01 +3.7685e+00 -8.6659e-01 -5.7322e-02 -6.3920e-01 -7.6707e-01 -4.2931e-01 +9.2957e-01 +1.3575e+00 -9.3243e-01 -1.9219e+00 -1.6838e+00 +3.4290e+00 +1.3517e+00 +1.2106e-02 -9.7541e-01 -4.8372e+00 -2.8343e+00 -1.2490e+00 +7.3619e-01 +3.5694e+00
