% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.079770263e+01 +5.079770263e+01 +3.385770263e+01 +3.385770263e+01 +2.7729e-01 +1.8565e+00 +7.4177e-01 +4.2236e+00 -5.6820e-01 -2.1383e+00 -4.3509e+00 -4.0439e+00 +1.1617e+00 -3.9354e+00 -2.3522e+00 +2.6447e+00 +1.0440e-01 -2.8250e+00 +2.0297e+00 -2.7180e+00 +4.5355e+00 -2.0209e+00 -4.8411e+00 -1.6875e+00
6 +1.662363297e+01 +1.662363297e+01 -3.163670335e-01 -3.163670335e-01 +3.4730e+00 -1.4328e+00 -3.8837e+00 +2.3941e+00 -1.1596e+00 -1.5294e+00 -7.4617e-02 -2.1247e+00 +2.4284e+00 -7.5543e-01 -1.1225e+00 -3.5584e+00 -4.1936e+00 +4.6542e+00 +3.9284e+00 +4.6491e+00 +3.5606e+00 +9.5849e-01 -4.2938e+00 +1.1857e+00
33 +1.192270830e+01 +1.192270830e+01 -5.017291700e+00 -5.017291700e+00 +1.5991e+00 +3.7820e+00 -4.8735e+00 +1.6040e+00 +3.1730e+00 +2.8646e-01 +2.1886e+00 -1.7293e+00 -3.5292e+00 +3.4031e-01 +2.8004e+00 -2.2376e+00 -1.5969e-01 +1.0892e+00 +4.2052e+00 -9.2075e-01 +1.4340e+00 -4.9181e-02 +2.0132e-01 +3.8226e-02
1788 +1.112697178e+01 +1.112697178e+01 -5.813028222e+00 -5.813028222e+00 +3.4597e+00 +3.1567e+00 +9.3885e-01 -1.5108e+00 -9.3476e-01 +3.7595e+00 +3.2409e+00 -2.1075e-02 -4.0836e+00 -3.8872e+00 +4.8233e+00 -1.8803e+00 -2.2871e+00 +2.1521e+00 +1.4355e+00 +9.0111e-02 +3.5877e+00 +8.0355e-01 -1.6329e+00 +1.1173e+00
7264 +8.380577114e+00 +8.380577114e+00 -8.559422886e+00 -8.559422886e+00 +1.0464e+00 +5.8064e-01 -4.6943e+00 -9.1863e-01 +1.7126e+00 -6.8085e-01 +4.2660e+00 -2.4713e+00 -1.5839e+00 -3.6126e+00 +2.8742e+00 -1.3360e+00 -1.9816e+00 -1.7820e+00 +2.5528e+00 +4.8866e+00 +3.1873e+00 -3.2831e-01 -3.1602e+00 -3.2734e+00
52534 +6.381454651e+00 +6.381454651e+00 -1.055854535e+01 -1.055854535e+01 +4.7081e+00 +4.8546e+00 -3.6988e+00 -1.4135e+00 +2.8910e+00 -3.4649e+00 +1.9609e+00 -1.3749e+00 -6.4534e-01 +2.5052e+00 +3.3420e+00 -6.8844e-01 -2.2178e+00 -1.4608e+00 +2.2958e+00 +3.5207e+00 +4.5183e+00 +3.1417e+00 +2.8153e+00 +7.2133e-01
3894591 +5.909650397e+00 +5.909650397e+00 -1.103034960e+01 -1.103034960e+01 +2.2872e+00 +2.2439e+00 -2.0672e+00 +1.2709e-01 +2.1820e+00 -5.1970e-01 +2.9106e+00 -3.3306e+00 +1.2332e+00 -1.3913e+00 +4.4069e+00 -6.0353e-03 -2.3840e+00 -4.4711e+00 +7.8825e-01 +2.7060e+00 +3.4064e+00 -3.2132e-01 -5.6919e-02 +3.1499e+00
4378014 +5.622642735e+00 +5.622642735e+00 -1.131735727e+01 -1.131735727e+01 -1.9313e-01 +2.1170e+00 -2.8149e+00 +2.9767e+00 +3.0690e+00 -3.1997e+00 +2.9973e-01 -2.4020e+00 -2.4118e+00 -2.4900e+00 +3.5470e+00 -3.9621e-01 -3.1514e+00 -2.9016e+00 +1.9879e+00 +1.4524e+00 +3.6181e+00 +1.2003e-01 -9.6387e-01 +7.1990e-01
13081365 +5.307016984e+00 +5.307016984e+00 -1.163298302e+01 -1.163298302e+01 +4.0000e+00 +1.2793e+00 -1.4013e+00 +1.7754e+00 +1.9103e+00 -6.9210e-02 +4.1301e+00 -1.0993e+00 -2.1752e+00 -1.8776e-01 +3.8136e+00 +6.3102e-01 +1.5798e+00 -2.7671e+00 +8.5371e-01 +1.5293e+00 +1.8751e+00 +2.4853e+00 +5.5454e-01 +2.7682e+00
33548008 +5.210807999e+00 +5.210807999e+00 -1.172919200e+01 -1.172919200e+01 +3.7792e+00 +2.8604e+00 -2.8755e+00 +2.5420e+00 +2.7329e+00 -1.5279e+00 +1.8447e+00 -4.9232e+00 +2.5650e-01 -2.8307e+00 +4.2491e+00 +1.9137e+00 -3.5546e+00 -1.5458e+00 +2.7396e+00 +4.0725e+00 +4.0218e+00 -7.8771e-02 -9.7963e-01 +3.8718e-01
