% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.842215917e+03 +2.842215917e+03 +2.872185917e+03 +2.872185917e+03 -3.5342e+00 -2.3480e+00 +1.0556e-01 +2.6724e+00 +4.5554e+00 +2.9376e+00 +1.8096e+00 +3.2094e+00 +4.4488e+00 +1.4288e+00 -6.2669e-01 -2.9505e+00 +4.3438e+00 -4.1578e+00 -2.5685e+00 +7.5841e-01 +4.2191e-01 -4.8947e+00 +8.6127e-01 +1.1260e+00
7 +2.570081806e+03 +2.570081806e+03 +2.600051806e+03 +2.600051806e+03 +1.6458e+00 -3.8766e+00 -2.3527e+00 +2.2241e+00 +4.7924e+00 -3.5924e+00 -4.8215e+00 +1.9137e+00 -1.9823e+00 -4.1562e+00 -3.0883e+00 -4.4847e+00 -3.3732e+00 +4.5134e+00 -3.0819e+00 -3.5492e+00 +3.0167e-01 -6.0128e-02 +3.5894e+00 -1.3972e+00
44 +2.351111263e+03 +2.351111263e+03 +2.381081263e+03 +2.381081263e+03 +1.4336e+00 +1.0031e+00 +2.6535e-01 +1.9401e+00 +1.9412e+00 +4.6401e-01 -3.0397e+00 +7.8781e-01 +4.3953e+00 +3.8817e+00 +1.7544e+00 +2.2545e-01 +3.2995e+00 -3.6077e+00 -1.9398e+00 +3.9651e+00 -2.2008e+00 -3.7439e+00 +2.4086e+00 -4.1010e+00
50 +1.863203828e+03 +1.863203828e+03 +1.893173828e+03 +1.893173828e+03 -8.3921e-01 -3.9141e+00 -1.1803e+00 -3.0213e+00 +5.9893e-01 +3.2961e-01 -4.1803e-01 -8.1181e-01 +2.8898e+00 -2.7265e+00 -1.6837e-01 -4.1624e+00 +3.4423e+00 +3.8469e+00 -3.0002e+00 -1.1042e+00 -1.2273e+00 +2.9060e+00 +8.3528e-01 +7.6677e-01
328 +1.811116896e+03 +1.811116896e+03 +1.841086896e+03 +1.841086896e+03 -1.2344e+00 +4.8033e+00 -3.0863e+00 +3.1259e+00 +1.2625e+00 +1.3600e+00 -4.1944e+00 +4.6674e-01 -1.9321e+00 -4.3232e+00 +4.0785e+00 -1.1420e+00 +2.5413e+00 +1.5417e+00 -1.8819e-01 +6.2296e-01 -1.6741e+00 -1.2001e+00 +2.1139e+00 -4.1173e+00
1242 +1.775959120e+03 +1.775959120e+03 +1.805929120e+03 +1.805929120e+03 +2.5999e+00 +3.8280e+00 -3.4991e+00 -3.3650e+00 +1.8834e+00 +4.1856e+00 -4.4951e+00 -3.9760e+00 -1.7769e+00 -2.4666e+00 +1.0618e+00 -2.7501e+00 +3.5475e+00 +2.1682e+00 +2.3708e+00 -4.1885e-01 -1.1430e+00 +4.8450e+00 +5.8476e-02 -4.8594e+00
2056 +1.649210539e+03 +1.649210539e+03 +1.679180539e+03 +1.679180539e+03 -2.7850e+00 +1.2849e+00 -1.6291e+00 -5.0246e-01 +3.9543e+00 +1.0829e+00 +3.9919e-01 +1.0728e+00 +3.0102e+00 -6.6611e-01 +3.4065e+00 -3.5760e+00 +2.5515e+00 +2.2572e+00 -1.2350e-01 -1.7352e+00 -7.9741e-01 -1.8649e+00 +1.3096e+00 -9.1770e-01
3349 +1.607715269e+03 +1.607715269e+03 +1.637685269e+03 +1.637685269e+03 +4.7487e+00 +9.0259e-01 -4.0160e+00 -5.9543e-02 +2.9622e+00 +3.7224e-01 -3.4725e+00 -2.1764e+00 -2.5244e+00 -2.0971e+00 -3.8355e-01 +3.7363e+00 +2.4031e+00 +3.8497e+00 -1.6651e+00 +2.6859e+00 -8.5050e-01 +4.1527e+00 +2.1870e+00 -2.4196e+00
3603 +1.314556396e+03 +1.314556396e+03 +1.344526396e+03 +1.344526396e+03 -1.4200e+00 +7.2005e-01 -2.7582e+00 -2.2730e+00 +4.9321e+00 +2.3436e+00 -2.3100e+00 -3.1686e+00 +2.8861e+00 -4.5383e+00 +5.4859e-01 -1.9643e+00 +3.5829e+00 +2.3775e+00 -3.2788e+00 +1.3410e+00 -3.4388e+00 +4.3705e+00 +1.3813e+00 -1.1389e+00
69887 +1.160736073e+03 +1.160736073e+03 +1.190706073e+03 +1.190706073e+03 +1.7259e+00 -3.9196e+00 -2.3011e+00 -5.7969e-01 +2.0103e+00 +1.0411e+00 -2.1645e+00 -3.7662e+00 +2.4562e+00 -8.9294e-01 +4.3871e+00 +9.5497e-01 +2.3375e+00 +2.2085e+00 -2.0102e+00 +4.1992e+00 -3.7032e+00 +3.1612e-02 +1.3031e+00 -3.3419e+00
