% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.203234372e+07 +1.203234372e+07 +1.203213384e+07 +1.203213384e+07 -1.2327e+00 +3.9199e+00 -3.8291e+00 +1.3084e+00 -1.3955e+00 -2.6974e+00 +2.2669e+00 -1.0800e+00 +4.5406e+00 +2.4736e+00 -1.8144e-01 -1.9987e+00 +3.7819e+00 +7.5500e-01 -1.0661e+00 +4.0437e+00 -4.9482e+00 +4.9597e+00 -4.8080e-01 -5.2041e-01
4 +5.184233999e+06 +5.184233999e+06 +5.184024119e+06 +5.184024119e+06 -4.9441e+00 +1.8014e+00 +6.9973e-01 +4.1868e+00 -4.2866e+00 -3.7268e+00 -2.6265e+00 +2.4526e+00 +3.1893e+00 +3.8296e+00 -3.0939e+00 -3.4492e+00 +3.1274e+00 +2.2575e+00 -4.6909e+00 -2.1796e+00 -6.3809e-01 +2.9216e-01 -3.7023e+00 +8.8566e-01
13 +1.864442101e+06 +1.864442101e+06 +1.864232221e+06 +1.864232221e+06 +1.0493e+00 -4.9161e+00 -3.1600e+00 -3.9517e-01 +1.1547e+00 +1.3393e+00 +3.8820e-02 -1.4620e+00 +2.4035e+00 +2.4158e+00 +2.2678e+00 -1.2035e+00 -3.9918e+00 -1.3513e+00 +3.7296e+00 -3.9209e+00 -1.7315e+00 +3.4049e+00 -2.1446e+00 +2.5853e+00
448 +1.830767036e+06 +1.830767036e+06 +1.830557156e+06 +1.830557156e+06 +2.4578e+00 +9.0722e-01 +1.5230e+00 -2.0293e+00 -1.8191e+00 +2.1721e+00 +2.7634e+00 +1.0923e+00 +2.2874e+00 -4.5827e+00 -2.4498e+00 -2.9764e+00 -1.2007e+00 -4.2310e+00 -4.0602e+00 -3.0483e+00 -8.0135e-01 +1.8187e+00 -2.6589e+00 +1.5088e+00
538 +1.456411595e+06 +1.456411595e+06 +1.456201715e+06 +1.456201715e+06 -1.8622e+00 -3.9456e+00 +4.7907e+00 -7.0916e-02 -2.6684e+00 -1.9814e+00 -2.9381e+00 -1.2974e+00 -4.9253e+00 +1.7503e+00 -7.4774e-01 +5.7345e-01 +4.5231e+00 -3.1133e+00 +2.0350e+00 -3.4166e+00 -4.6351e+00 +1.7768e+00 -2.2859e+00 +2.4360e+00
997 +1.424066562e+06 +1.424066562e+06 +1.423856682e+06 +1.423856682e+06 -2.2982e+00 -1.2591e+00 -1.2296e+00 +8.7175e-01 -4.1509e+00 -7.6980e-01 -3.4874e+00 -9.9267e-01 +1.1560e+00 -4.7087e-01 -9.2885e-01 -1.3173e+00 -2.5143e+00 +1.8804e+00 -4.2361e+00 -2.7080e+00 -1.3849e+00 +3.1348e+00 -2.4222e+00 +2.6564e+00
1445 +1.325798175e+06 +1.325798175e+06 +1.325588295e+06 +1.325588295e+06 -2.2220e-01 -3.1552e+00 -2.5174e+00 -2.2532e+00 +3.3480e+00 -1.1951e+00 +3.0728e+00 -1.3539e+00 +3.7517e+00 +9.9971e-02 +2.0132e+00 +2.4567e+00 +3.4137e+00 -4.9647e+00 -5.0885e-02 -8.2347e-02 -4.1729e+00 +2.6382e+00 -2.8126e+00 +2.2020e+00
1943 +1.183442069e+06 +1.183442069e+06 +1.183232189e+06 +1.183232189e+06 +4.2177e-01 -4.0665e-01 -3.6647e+00 +2.7377e+00 -3.7153e+00 +1.5185e+00 +1.6319e+00 +3.4211e+00 +2.2225e+00 -4.4987e+00 -3.0404e+00 -4.3492e+00 -2.0595e+00 +1.9367e+00 -2.0301e+00 -2.9447e+00 -3.9120e+00 +1.6472e+00 -2.2428e+00 +2.0460e+00
4228 +1.057559856e+06 +1.057559856e+06 +1.057349976e+06 +1.057349976e+06 +3.4193e+00 +3.7051e+00 -1.7367e+00 -3.6267e+00 -5.9312e-01 +3.6581e+00 +2.9610e+00 +4.9275e+00 +2.4433e+00 -4.5024e-01 -3.0733e+00 +1.0553e+00 -3.0962e+00 -1.0687e-01 -1.5654e+00 -4.5488e+00 -9.3321e-01 +2.9387e+00 -2.6474e+00 +1.5967e+00
5504 +8.777844241e+05 +8.777844241e+05 +8.775745441e+05 +8.775745441e+05 -3.6745e+00 +4.4505e+00 +1.7459e+00 +1.8295e+00 -4.9156e+00 -4.6498e+00 +3.1085e+00 -2.2198e+00 +2.2186e+00 +1.3207e-01 -4.9103e+00 +3.9061e+00 +7.1952e-01 -2.3166e+00 -2.0512e+00 -3.6438e+00 -2.0014e+00 +4.5619e+00 -2.2385e+00 +1.6200e+00
