% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.108902427e+03 +2.108902427e+03 +1.646812427e+03 +1.646812427e+03 -9.9830e-01 -2.7560e+00 +7.7228e-01 -2.6604e-01 +1.9919e+00 -3.2890e+00 +3.4489e+00 +2.6368e+00 +4.3594e+00 +4.8752e+00 -3.3427e+00 +3.5273e+00 -4.8869e+00 -5.1969e-01 -1.4979e+00 -3.1080e-01 -2.6608e+00 -2.1197e+00 +1.0226e+00 +1.3898e+00
2 +1.509518291e+03 +1.509518291e+03 +1.047428291e+03 +1.047428291e+03 -3.9372e-01 +2.5974e+00 +2.7364e+00 +4.1357e+00 +4.4581e+00 +2.0739e+00 +2.6176e+00 +1.6959e+00 -1.4050e+00 -2.3388e-01 +1.0526e+00 -5.6198e-01 -6.9029e-01 -1.0517e+00 +4.6777e+00 -3.7652e+00 -4.5661e+00 +1.6539e+00 -2.8476e+00 +4.9704e+00
12 +1.163277558e+03 +1.163277558e+03 +7.011875583e+02 +7.011875583e+02 -3.8488e+00 +4.2568e+00 +4.0283e+00 +2.6341e+00 +2.7294e+00 -1.5396e+00 +5.0119e-01 +2.8259e+00 -3.1214e+00 +2.6307e+00 -4.0613e-01 +2.6354e+00 +2.8036e+00 +6.4394e-01 +8.6125e-01 -3.7544e+00 -1.0483e+00 +1.9658e+00 -3.0985e+00 +3.7351e+00
20 +1.005157774e+03 +1.005157774e+03 +5.430677737e+02 +5.430677737e+02 -1.8328e+00 -4.3393e+00 +2.4815e+00 -2.1318e+00 +4.1745e+00 +2.5599e-01 -2.3587e+00 +4.9309e+00 +4.9337e+00 +1.1895e+00 -3.1472e+00 -2.8851e+00 +7.8519e-01 +5.4617e-01 -1.4980e+00 -2.6940e+00 -3.6284e+00 -3.0410e-01 -4.0512e+00 -4.1743e+00
49 +5.913194292e+02 +5.913194292e+02 +1.292294292e+02 +1.292294292e+02 -4.3500e+00 -4.6158e+00 +3.1666e+00 +3.6388e+00 -4.4045e+00 -4.8890e-01 +2.1709e+00 +2.5668e+00 -3.8668e-01 +9.6780e-01 -2.4421e+00 -4.0441e+00 +3.5915e+00 -4.5079e+00 -3.1727e-01 -2.7186e+00 +8.3174e-01 +4.6173e+00 -1.6467e+00 +1.1270e+00
291 +5.433081015e+02 +5.433081015e+02 +8.121810153e+01 +8.121810153e+01 -2.9796e+00 -4.7781e+00 -3.6261e+00 -2.0952e-01 -6.0522e-01 -3.0740e+00 -3.1529e+00 +1.1961e+00 -2.7667e+00 +1.3228e-01 -4.7909e+00 -2.5598e+00 -3.0534e-02 -3.3838e+00 -2.0874e+00 -2.0661e+00 +2.2083e-01 +3.7373e+00 -1.7545e+00 +1.0311e+00
499 +4.720369951e+02 +4.720369951e+02 +9.946995082e+00 +9.946995082e+00 +1.3586e+00 +2.6777e+00 +5.5282e-01 -2.6276e+00 +3.8104e+00 +2.8128e+00 +3.6783e+00 +3.4961e+00 +1.5650e+00 -5.1472e-01 -2.1302e+00 -1.8297e+00 +1.0197e+00 +5.5786e-01 -1.5765e+00 -4.9903e+00 -5.4733e-01 +2.7412e+00 -5.5716e-01 +2.8137e+00
21925 +4.647486911e+02 +4.647486911e+02 +2.658691145e+00 +2.658691145e+00 +4.2983e+00 +1.5467e+00 +5.3252e-01 +1.6290e+00 -2.6134e+00 -8.4260e-02 -1.1413e+00 -2.5208e+00 +2.5456e+00 -3.9852e+00 -4.9219e+00 -3.7797e+00 +4.2148e-01 -4.9782e-01 -3.5159e+00 -2.3896e+00 +9.3825e-02 +3.2073e+00 -1.1650e+00 +6.4547e-01
29406 +3.910357737e+02 +3.910357737e+02 -7.105422627e+01 -7.105422627e+01 -3.2634e+00 +4.6799e+00 +2.2897e+00 +7.4626e-01 +1.5098e-01 +2.1716e+00 +3.4305e+00 +1.0308e+00 +4.2136e+00 +6.3752e-01 +7.1079e-01 -1.2285e+00 +1.2689e+00 -4.6859e+00 +8.2925e-01 -4.2855e+00 -1.1902e+00 +1.9853e+00 -1.3038e+00 +2.5289e+00
116868 +3.797341916e+02 +3.797341916e+02 -8.235580838e+01 -8.235580838e+01 -3.6281e+00 +1.4133e+00 +2.0961e-01 +8.0699e-01 +3.2695e+00 +2.1289e+00 -2.4452e+00 -1.6082e-01 +4.3581e+00 -9.8015e-02 -1.0458e+00 -2.7314e+00 -2.1705e+00 -2.4648e+00 +1.5367e+00 -4.1974e+00 +4.3693e-01 +3.4771e+00 -1.2485e+00 +2.8284e+00
