% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.926071154e+05 +4.926071154e+05 +4.926833854e+05 +4.926833854e+05 +2.2410e+00 -1.8539e+00 +1.3111e+00 +1.4798e+00 -4.8815e+00 +4.9081e+00 +3.4645e+00 -1.6421e+00 -4.1388e+00 -4.2348e+00 +1.6839e+00 +3.2354e+00 +3.2507e+00 -2.6046e+00 -1.8150e+00 -1.1280e+00 -1.2538e+00 -1.7127e+00 -4.0178e+00 +2.9375e+00
13 +1.667537110e+05 +1.667537110e+05 +1.668299810e+05 +1.668299810e+05 +8.9368e-01 +4.2483e+00 -3.8141e-01 +4.8343e+00 +1.6376e+00 +1.3843e+00 -3.2662e+00 -1.0590e+00 +3.1233e+00 -4.6783e+00 +1.9866e+00 -2.0733e+00 +9.8752e-01 +4.6139e+00 +1.3643e+00 +1.3251e+00 +8.0292e-01 -1.0869e+00 +2.8531e+00 -2.0109e+00
19 +4.942839795e+03 +4.942839795e+03 +5.019109795e+03 +5.019109795e+03 +3.4081e+00 -1.9171e+00 +3.6094e+00 +3.8960e+00 +3.3480e+00 -4.6944e+00 +3.6062e+00 -3.1878e+00 +4.9602e+00 +1.4204e-02 +2.2039e+00 +8.7067e-01 +7.4302e-01 +6.6014e-01 -4.5207e+00 -2.7097e-01 +2.0991e+00 +7.5045e-01 +1.0318e+00 +2.2724e+00
27 +2.743661749e+03 +2.743661749e+03 +2.819931749e+03 +2.819931749e+03 +1.2659e+00 -5.5830e-02 -2.1394e+00 -2.3640e+00 +4.9060e+00 -2.3634e+00 +1.8492e+00 +1.1356e+00 -4.2257e+00 -3.0454e+00 -4.4490e+00 +2.5153e-01 +3.8001e+00 +1.7362e+00 -2.9263e-01 +1.1619e+00 -4.8560e-01 +4.9629e+00 -9.4209e-01 -3.8090e+00
36 +2.667970525e+03 +2.667970525e+03 +2.744240525e+03 +2.744240525e+03 -1.0178e+00 +1.8685e-01 +4.6372e+00 -2.1135e+00 +4.5601e-01 -1.6412e+00 -1.7052e+00 -2.1375e+00 +7.8893e-01 +8.3076e-01 -3.3058e+00 +3.9325e+00 +6.8023e-01 +1.2144e-01 -8.5048e-01 -3.4778e+00 +7.7545e-01 +1.1281e+00 +3.4509e+00 +4.5098e+00
59 +7.486785773e+02 +7.486785773e+02 +8.249485773e+02 +8.249485773e+02 +1.2482e-01 +1.6188e+00 -2.5273e+00 -1.4207e+00 -2.7898e+00 +3.6422e+00 -2.7787e+00 +1.7362e+00 +4.1674e+00 -1.3346e+00 -4.8037e+00 -1.7239e-01 -3.1235e+00 -3.1315e+00 -4.0453e+00 -4.1502e+00 +1.7424e+00 +2.1969e+00 +3.0499e+00 -1.3614e+00
127 +6.611093394e+02 +6.611093394e+02 +7.373793394e+02 +7.373793394e+02 +2.0120e+00 +3.3253e+00 -3.4993e+00 +2.5497e+00 -1.4934e+00 +1.7642e+00 +3.0459e+00 -3.5629e+00 +3.5770e+00 -8.0712e-01 +4.5345e+00 +2.6196e+00 -3.8599e+00 -3.8461e+00 +1.5883e-01 -1.7712e+00 +2.3405e+00 +4.3780e+00 -2.6715e+00 -1.8104e-02
419 +3.616577344e+02 +3.616577344e+02 +4.379277344e+02 +4.379277344e+02 +1.5709e+00 +2.1420e+00 -2.1827e-01 -4.3509e+00 +3.1339e+00 +2.8800e+00 +4.1257e+00 +1.2292e+00 -1.2540e+00 -3.0614e+00 +8.1062e-01 +1.7883e+00 -3.1065e+00 -3.9365e+00 -7.4914e-01 -2.1802e+00 +4.9427e+00 +2.3981e+00 +2.0124e+00 +3.4491e+00
697 +2.446890026e+02 +2.446890026e+02 +3.209590026e+02 +3.209590026e+02 +1.8978e+00 +2.3595e+00 -4.6203e+00 +1.3013e+00 +2.4603e+00 +8.3901e-01 -1.7837e-01 +9.7011e-01 +3.4168e+00 +2.8726e+00 +2.3795e+00 -2.8414e+00 -2.3078e+00 -3.0617e+00 -1.5662e+00 -3.2935e+00 +2.6577e-01 +4.2662e+00 +3.5799e+00 +1.2332e+00
2458 +2.367227559e+02 +2.367227559e+02 +3.129927559e+02 +3.129927559e+02 -2.6883e+00 -4.0783e+00 -2.9159e+00 -3.7279e+00 -3.5077e+00 -4.3192e+00 -8.5380e-01 +4.8332e+00 +2.7863e+00 -1.5664e+00 -2.7746e+00 -3.3898e+00 +1.1227e+00 -1.7862e+00 +5.5321e-02 -3.6111e+00 -2.2921e+00 +4.3776e+00 +3.6794e+00 -1.9251e+00
