% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.819467746e+03 +4.819467746e+03 +4.357377746e+03 +4.357377746e+03 +1.8072e+00 -1.9195e+00 +3.3200e+00 +5.8951e-01 +1.8234e+00 -3.6073e+00 +1.8298e+00 -3.8777e+00 +7.2606e-01 +2.3450e+00 +8.9688e-01 -9.8426e-01 -8.7954e-01 +2.2875e-01 +3.3422e+00 -1.7019e+00 -3.3773e+00 -1.5390e+00 +4.2474e+00 -1.1328e-01
9 +1.838987429e+03 +1.838987429e+03 +1.376897429e+03 +1.376897429e+03 -2.1278e-01 -8.9041e-03 +2.5892e+00 -2.4559e+00 +2.6572e+00 -2.8901e-01 -4.0558e+00 +1.4959e+00 -1.2744e+00 +3.9884e+00 -5.7305e-01 +4.2704e+00 -2.9854e+00 +1.4896e+00 +2.0822e+00 -4.3868e+00 +1.0943e+00 +2.6709e+00 +2.6545e-01 -4.0697e+00
28 +9.688224713e+02 +9.688224713e+02 +5.067324713e+02 +5.067324713e+02 +2.7713e-01 +3.8041e+00 +3.4058e+00 +2.7384e+00 +1.7528e+00 +3.8690e+00 +3.1670e-01 +2.0205e+00 +8.9177e-02 +8.2437e-01 -2.3203e+00 -1.9339e+00 -3.4417e-02 +4.6046e+00 +1.3323e+00 -3.3876e+00 -1.8084e+00 +8.6986e-01 +7.2818e-01 +3.0914e+00
299 +8.012167219e+02 +8.012167219e+02 +3.391267219e+02 +3.391267219e+02 +1.1429e+00 -4.3629e+00 -2.3286e+00 +4.7425e+00 -1.5771e+00 -2.4938e+00 +1.2688e-01 -4.8021e+00 -4.0200e+00 +2.3867e+00 -1.4228e+00 +6.6220e-02 -3.1702e-01 -4.1697e+00 -8.5266e-01 -2.4150e+00 -1.2540e-01 +4.3717e+00 +6.6435e-01 +1.3294e+00
2811 +7.408152685e+02 +7.408152685e+02 +2.787252685e+02 +2.787252685e+02 +2.0375e+00 -8.9781e-01 -1.8408e+00 +1.5669e+00 -4.6258e+00 +4.2826e+00 +2.3780e+00 -2.1401e+00 -3.6407e+00 +5.5803e-01 -6.1955e-01 -1.8295e+00 +7.8483e-01 -2.5902e+00 -1.0618e-01 -4.2064e+00 -1.5960e+00 +3.2164e+00 +2.8086e+00 +5.0550e-01
5840 +7.217591195e+02 +7.217591195e+02 +2.596691195e+02 +2.596691195e+02 -2.4036e+00 +1.6497e+00 +1.0821e+00 -5.9810e-01 +3.1999e+00 +6.2652e-02 -1.3327e+00 +4.3423e+00 +1.1059e+00 +2.5684e+00 -2.2931e-01 -2.1658e+00 +3.7401e-02 +1.5121e+00 +1.1861e+00 -3.1458e+00 -2.6681e+00 +1.3364e+00 +7.2147e-01 +3.1715e+00
7788 +6.371865342e+02 +6.371865342e+02 +1.750965342e+02 +1.750965342e+02 -2.1648e+00 +6.8586e-01 +6.6951e-01 +3.2218e+00 -4.0828e+00 +3.0686e+00 -3.9399e+00 +2.3174e+00 -1.0979e-01 -2.6967e+00 +2.6845e+00 -2.6434e+00 -4.0907e-01 -3.7822e+00 +5.2993e-01 -3.6155e+00 +7.5101e-01 +4.0323e+00 +1.2667e+00 -1.2596e+00
18612 +4.979969459e+02 +4.979969459e+02 +3.590694591e+01 +3.590694591e+01 -3.9817e+00 +3.2361e+00 +1.0949e+00 +1.6003e+00 -2.2563e+00 -3.5560e-01 -2.3702e+00 +4.3143e+00 +7.8887e-01 +1.3266e+00 -2.3976e-01 -4.4654e+00 -1.9853e+00 -2.0179e+00 +2.9393e-01 -1.8457e+00 -9.3625e-01 +9.7565e-01 +2.6738e+00 +2.0668e+00
411862 +4.845831411e+02 +4.845831411e+02 +2.249314105e+01 +2.249314105e+01 +2.7265e+00 -9.0055e-01 -2.2207e-01 +2.2624e+00 -6.7638e-02 -2.1722e+00 +7.0521e-01 +3.2426e-01 -3.4396e+00 +1.4655e+00 -1.2728e+00 -7.8388e-01 -3.3976e-01 -2.8484e+00 +1.3325e+00 -4.3645e+00 -5.9286e-01 +2.9990e+00 +1.6073e+00 +1.6992e+00
551911 +4.151019741e+02 +4.151019741e+02 -4.698802586e+01 -4.698802586e+01 +2.8609e+00 -8.8082e-01 -4.6015e-01 +3.2109e+00 +5.4741e-01 +2.0255e+00 +2.8990e-01 +4.4682e+00 +2.0675e+00 -6.3360e-01 +1.3046e+00 -4.7748e+00 +1.4328e-01 -4.4450e+00 -4.4632e-01 -1.8925e+00 -2.1785e-01 +3.8503e+00 +1.6340e+00 -7.3067e-02
3259020 +4.019149607e+02 +4.019149607e+02 -6.017503933e+01 -6.017503933e+01 +1.6788e+00 +6.4053e-01 -2.8274e+00 +1.1381e+00 +2.2210e+00 +3.2703e+00 +3.0912e-02 +3.9767e+00 +1.0226e+00 +4.4292e-01 +1.7914e+00 -4.4667e+00 -2.7803e+00 -4.2890e+00 -9.7665e-01 -3.5727e+00 +1.0077e-01 +3.8517e+00 +2.0706e+00 -4.0092e-01
