% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.765020384e+01 +1.765020384e+01 +2.452020384e+01 +2.452020384e+01 +3.7541e+00 -2.6860e-01 +3.1469e+00 -1.6911e+00 +3.9857e+00 +2.3243e+00 +2.9104e+00 +4.1595e+00 +1.0089e+00 +3.7869e+00 -4.0542e+00 -2.1235e+00 +3.3110e+00 -3.8114e+00 +1.8031e+00 -4.5249e+00 -4.0561e-01 +2.7594e-01 -3.8380e+00 -3.7312e+00
2 +1.315016067e+01 +1.315016067e+01 +2.002016067e+01 +2.002016067e+01 +4.6949e+00 +4.8181e+00 +2.6072e+00 +2.1619e+00 +1.3461e+00 -9.6253e-01 -4.3297e+00 +2.6625e+00 +3.9929e+00 +3.4705e+00 +3.3645e+00 -2.7261e-01 -4.7187e+00 +3.4031e+00 +3.7466e+00 -4.9023e+00 -1.9003e+00 -2.5303e+00 +3.7719e+00 -3.8250e-01
3 +6.101446957e+00 +6.101446957e+00 +1.297144696e+01 +1.297144696e+01 +2.7514e+00 -1.5506e-01 +3.6703e+00 +2.3882e+00 +3.9867e+00 -6.3608e-01 +2.2345e+00 +3.1383e+00 -4.2360e+00 -1.2634e+00 +3.2045e+00 +1.3146e+00 -1.0250e+00 -3.2571e+00 +6.6082e-02 +1.2402e+00 -2.8031e+00 -6.1823e-01 +8.6911e-01 +8.7617e-01
99 +3.978792418e+00 +3.978792418e+00 +1.084879242e+01 +1.084879242e+01 -3.3114e+00 +8.3831e-01 +2.0333e+00 -2.4601e+00 -3.7403e+00 -6.5829e-01 +4.2990e-01 +2.4583e+00 +3.5359e+00 -1.5107e+00 -2.6071e+00 -3.3154e+00 -3.9618e+00 -2.7506e+00 -1.7912e-01 +4.5573e+00 -1.0225e+00 +2.8625e+00 +1.1607e+00 -4.0768e+00
566 +3.652425152e+00 +3.652425152e+00 +1.052242515e+01 +1.052242515e+01 +2.4711e+00 +1.2632e+00 -2.1724e+00 +1.7654e+00 +1.0502e+00 +1.4765e+00 -7.3738e-01 +1.0677e+00 -5.2748e-01 +4.5371e+00 -4.9305e+00 +3.8625e+00 +9.5495e-02 -1.3426e+00 +1.4280e+00 -2.7523e+00 +3.4066e+00 -7.6827e-01 -2.7846e+00 +4.7936e+00
5803 +3.384985165e+00 +3.384985165e+00 +1.025498517e+01 +1.025498517e+01 -2.3853e-01 -1.3450e-01 +1.2239e+00 -1.3375e+00 -2.7852e+00 +2.8206e+00 +2.0849e+00 -2.5793e+00 -5.7619e-01 -3.4532e+00 +4.0734e+00 +3.0930e+00 -1.8977e+00 +3.3014e+00 -7.5460e-01 +3.8688e+00 -3.3161e+00 -3.1708e+00 -8.2126e-01 -3.8331e+00
20138 +3.147733079e+00 +3.147733079e+00 +1.001773308e+01 +1.001773308e+01 -4.9831e-01 +7.3358e-01 +2.8951e+00 +1.2500e+00 +9.5117e-01 -4.1205e+00 +2.6627e-02 +2.8049e+00 +3.8965e+00 +4.0509e+00 -1.3712e+00 +2.9149e+00 +4.8896e+00 +3.4796e+00 -3.7803e+00 +4.5191e+00 -3.2266e+00 +1.3726e+00 -2.7389e+00 -4.1872e-01
21882 +2.686733096e+00 +2.686733096e+00 +9.556733096e+00 +9.556733096e+00 -6.6490e-01 -3.1947e+00 -3.6266e+00 -3.3663e+00 +3.6342e+00 +8.7113e-01 -1.5940e+00 +4.4773e+00 +1.0092e+00 +4.6733e+00 +3.7666e+00 -1.4421e-01 +3.8263e+00 -3.8270e+00 -2.1993e+00 -4.9122e+00 -4.7383e+00 -3.9570e+00 -1.6889e+00 -1.2747e+00
24055 +2.605740788e+00 +2.605740788e+00 +9.475740788e+00 +9.475740788e+00 -1.3239e+00 +4.3681e+00 -4.9582e+00 -3.0093e+00 +3.2800e+00 -3.1529e+00 +3.0526e+00 +4.3931e+00 +3.6904e+00 +1.1237e+00 -1.9866e-01 +1.5541e+00 -3.4867e+00 +2.1048e+00 +8.1448e-01 +1.3382e+00 -4.8575e+00 -5.1434e-01 +3.8596e+00 -1.2367e+00
50853 +2.112339575e+00 +2.112339575e+00 +8.982339575e+00 +8.982339575e+00 -3.1592e+00 +2.5434e+00 +4.9338e+00 +4.2289e+00 -4.7003e+00 +4.5109e+00 +1.7747e+00 +3.9338e+00 -2.3005e+00 +3.9066e+00 -3.2202e+00 +1.0081e+00 -4.8939e+00 -1.8603e+00 -3.2314e+00 +6.6637e-01 -2.8609e+00 -1.3620e+00 -3.6207e+00 -4.2588e+00
58833 +2.019265800e+00 +2.019265800e+00 +8.889265800e+00 +8.889265800e+00 +4.3167e+00 -2.8136e+00 -3.8209e+00 -3.2291e+00 +2.1500e+00 +1.0248e+00 +4.4243e+00 +1.9639e+00 +3.6592e+00 -2.0897e+00 +4.5957e+00 -3.3351e+00 +4.4226e+00 +4.4599e-01 +4.6630e+00 +3.2315e+00 +3.6724e+00 -8.2587e-01 +7.4038e-01 +4.6307e+00
291391 +1.926035142e+00 +1.926035142e+00 +8.796035142e+00 +8.796035142e+00 +4.9578e+00 -4.7550e+00 -4.6765e+00 -3.2694e+00 +4.8935e+00 -3.1028e+00 -1.7057e+00 -4.5571e+00 -2.0907e+00 +4.5690e+00 -3.2711e+00 -3.3403e+00 +4.7195e+00 -1.3921e+00 +2.8843e+00 -1.8018e+00 -2.6324e-01 -4.9820e+00 +4.9334e-01 -2.1705e+00
534575 +1.549382122e+00 +1.549382122e+00 +8.419382122e+00 +8.419382122e+00 +3.3469e+00 -3.8319e+00 -1.1024e+00 +3.5838e+00 +6.3327e-01 -4.2920e+00 +3.4316e+00 +3.5839e+00 -4.4354e+00 +3.0681e+00 +2.3406e+00 -8.7348e-01 -3.5624e+00 -4.5460e+00 +4.0265e+00 -3.9936e-01 -4.2813e+00 +1.1304e-01 -2.2450e+00 -4.9382e+00
