% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.914247059e+07 +2.914247059e+07 +2.914241565e+07 +2.914241565e+07 -1.3623e-01 +3.1703e+00 -1.0266e+00 -3.2935e-01 -4.3068e+00 -4.3927e+00 +3.2505e+00 +1.6116e+00 +1.7777e+00 -4.0903e+00 +4.5369e+00 -4.8135e+00 -5.9324e-01 -4.7599e+00 +2.6117e-01 +2.8725e+00 +4.6424e+00 -1.3223e+00 +3.6241e+00 +4.8398e+00
2 +9.617793787e+06 +9.617793787e+06 +9.617738847e+06 +9.617738847e+06 +1.3643e-01 +3.7258e+00 +1.9748e+00 -2.8383e+00 +7.1409e-01 -2.9143e+00 +2.7715e+00 -1.1021e+00 +1.7625e+00 -7.6431e-01 -3.6251e+00 -3.8537e+00 +2.9968e+00 -4.4158e+00 -1.2763e+00 -1.1977e+00 +5.8940e-01 -4.7492e-01 +2.6245e+00 -4.5706e+00
4 +9.132301300e+06 +9.132301300e+06 +9.132246360e+06 +9.132246360e+06 +2.6300e+00 +1.2677e+00 -2.7187e+00 -2.9217e+00 +1.1051e+00 +4.4142e-02 +2.8347e+00 -6.7651e-01 +1.2552e+00 +2.8821e+00 -9.4450e-01 +1.3106e+00 -6.1441e-01 -1.7670e+00 +9.8534e-01 -4.2641e+00 +2.6796e+00 +2.4645e-01 +3.2461e+00 +3.3062e+00
5 +6.346811439e+06 +6.346811439e+06 +6.346756499e+06 +6.346756499e+06 -2.3807e+00 +2.8561e+00 +2.4503e-02 -3.4511e+00 +4.5643e+00 +2.4153e+00 -2.8185e+00 +4.0835e+00 -2.7072e+00 -4.8959e+00 +2.2114e+00 +4.2546e+00 +2.5103e+00 -7.2277e-01 +4.4396e+00 +4.0987e+00 +3.4440e+00 -3.4876e-01 -1.4413e+00 -1.1470e+00
13 +2.472311469e+06 +2.472311469e+06 +2.472256529e+06 +2.472256529e+06 -1.9466e+00 -3.1354e+00 -3.7164e+00 -3.0765e+00 -3.6241e+00 -2.2342e+00 -2.3152e+00 +2.7458e+00 +2.1396e+00 +3.4174e+00 -3.6717e-01 +4.4790e+00 +3.1317e+00 +1.4570e+00 +1.1757e+00 -1.0602e+00 -6.5578e-01 +4.5639e+00 +2.5498e+00 -2.0547e+00
160 +1.770781769e+06 +1.770781769e+06 +1.770726829e+06 +1.770726829e+06 +2.0444e+00 +1.4246e-01 +7.5747e-01 -3.1038e-01 -2.6847e-01 -1.7164e-02 +4.8089e+00 +1.8260e+00 -2.8894e+00 +8.7006e-02 -5.8231e-01 +4.5010e+00 +3.2355e+00 +4.5203e-01 -4.3782e-02 +3.1525e+00 +3.0906e-01 +4.2605e+00 +5.9888e-01 +7.9587e-01
262 +1.147256681e+06 +1.147256681e+06 +1.147201741e+06 +1.147201741e+06 -2.9786e+00 -8.4998e-01 +1.5028e+00 +3.5268e+00 +1.9569e+00 -1.6558e+00 +3.9114e+00 -2.7788e+00 -4.0924e+00 +2.5084e+00 -1.1240e+00 +2.2790e+00 +8.5569e-01 -1.7993e+00 -1.8091e+00 +5.3385e-01 +9.5475e-02 -8.9336e-01 +2.0750e+00 +1.1931e+00
2140 +9.967956262e+05 +9.967956262e+05 +9.967406862e+05 +9.967406862e+05 -4.8684e+00 -2.4848e+00 -1.3313e+00 +4.4534e+00 -4.7085e+00 +4.2570e+00 +1.5763e+00 -2.4577e+00 +1.1360e+00 -7.7338e-01 +2.5899e+00 -4.6011e+00 +3.8179e+00 -4.3728e+00 +2.8846e+00 +2.3338e+00 +4.3305e-02 +3.3846e+00 +2.3348e+00 +2.2257e+00
10211 +7.614253273e+05 +7.614253273e+05 +7.613703873e+05 +7.613703873e+05 -1.4398e+00 +1.8484e-01 -1.6516e+00 -1.3602e+00 +4.6305e+00 +1.7484e+00 +1.2240e+00 +4.2044e+00 -9.9199e-01 -3.6897e+00 +1.8064e+00 +4.8362e+00 +7.5358e-01 -1.9503e-01 +9.4234e-01 -3.5002e+00 +1.6894e+00 +2.1080e+00 +3.0437e+00 -3.8211e+00
12785 +5.345512271e+05 +5.345512271e+05 +5.344962871e+05 +5.344962871e+05 +1.7434e+00 -3.5970e+00 -4.2209e+00 -2.5260e+00 +4.3649e+00 +9.9337e-01 +3.1308e+00 -2.1499e-01 -1.3912e+00 -3.6612e+00 +3.0156e+00 +4.6503e+00 +3.5770e+00 -3.8301e+00 +3.0304e+00 -3.7560e+00 -1.4444e+00 +3.9615e+00 +4.6317e+00 +4.7893e+00
