% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.877634596e+02 +1.877634596e+02 +1.708234596e+02 +1.708234596e+02 -2.7454e+00 +2.5156e+00 +3.4430e+00 -3.6817e+00 -4.0543e+00 +1.7202e+00 +4.4080e+00 -3.4769e+00 +1.2411e+00 -1.3138e+00 +3.0191e+00 +4.7709e+00 +1.3689e+00 -1.6455e+00 -1.9035e-01 -1.1140e+00 -8.5189e-01 -1.6705e+00 +2.3328e+00 +3.4999e+00
2 +1.093784152e+02 +1.093784152e+02 +9.243841521e+01 +9.243841521e+01 -1.6096e+00 -8.2011e-01 +3.4847e+00 +2.1479e+00 +4.4676e+00 -1.4908e+00 -1.7220e-01 +4.0330e+00 -2.2209e+00 -4.9792e+00 -9.7357e-01 +3.9053e+00 +1.7429e+00 -3.4812e+00 +8.8578e-01 +1.6154e+00 +4.0979e+00 +2.2907e+00 -2.1259e+00 +4.8931e+00
6 +9.270495527e+01 +9.270495527e+01 +7.576495527e+01 +7.576495527e+01 +3.0460e+00 +3.0569e+00 +3.7595e+00 -2.5266e+00 -5.3154e-01 +3.1274e+00 +8.4996e-01 -2.8161e+00 -1.7654e+00 -4.6246e+00 -2.0983e-03 +4.0437e+00 -3.7446e-01 +2.7804e+00 +3.4770e+00 -7.8721e-01 +3.8579e+00 +3.0754e-01 -1.3206e+00 +9.1670e-01
21 +8.654648240e+01 +8.654648240e+01 +6.960648240e+01 +6.960648240e+01 -3.5562e+00 +1.0525e+00 -2.6294e+00 -2.0707e+00 +3.3108e+00 +4.6621e+00 +1.0430e+00 -1.3933e+00 +7.2255e-01 -2.8507e+00 -1.4851e+00 -1.5174e+00 +2.0892e+00 -6.5830e-01 +4.9407e+00 -1.8233e+00 +2.9172e+00 +3.2805e+00 -3.2428e+00 +3.6888e+00
35 +6.441593314e+01 +6.441593314e+01 +4.747593314e+01 +4.747593314e+01 +1.3754e+00 +1.4552e+00 -1.7809e+00 -3.0981e+00 +4.4314e+00 +6.4673e-01 -4.4582e-01 +3.8734e+00 +3.7714e+00 -4.2762e+00 -1.0000e+00 -3.8539e+00 -3.1336e+00 -8.7719e-01 +1.1408e+00 +1.6655e+00 +2.7099e+00 -4.6431e+00 -2.4667e+00 -6.7282e-01
131 +4.832614343e+01 +4.832614343e+01 +3.138614343e+01 +3.138614343e+01 +1.2362e+00 +4.8988e+00 +1.4707e+00 -4.4203e+00 +2.4590e+00 -4.3311e+00 +3.6253e+00 +1.6373e-01 -1.1285e+00 -3.8726e+00 +2.6384e+00 +6.9341e-01 -1.8728e+00 +8.1138e-01 +3.7708e+00 -1.7100e+00 +1.0491e+00 -1.5768e+00 -1.2241e+00 -1.2994e+00
1560 +2.604931711e+01 +2.604931711e+01 +9.109317107e+00 +9.109317107e+00 +1.1010e+00 -8.2225e-01 -2.5774e+00 +8.1585e-01 +4.4998e+00 -2.5724e+00 -3.7155e-01 +1.0431e+00 -6.4505e-01 -4.3324e+00 +2.0233e-01 -2.4137e+00 -3.6727e+00 -6.8772e-01 +4.0596e+00 +4.2339e+00 +2.5596e+00 -3.0257e+00 -2.9284e+00 +1.8290e+00
125272 +2.566148728e+01 +2.566148728e+01 +8.721487277e+00 +8.721487277e+00 +1.7066e+00 +7.6062e-01 -4.1492e+00 +1.6133e+00 +9.0195e-01 -4.7802e+00 +2.7145e+00 -2.6793e+00 -6.6623e-01 -2.7409e+00 +1.6712e+00 +3.4447e+00 -5.0737e-01 -3.1487e+00 +3.3896e+00 +1.6144e+00 +3.7272e+00 +9.1015e-01 +2.3555e+00 +2.0125e+00
245756 +2.448496981e+01 +2.448496981e+01 +7.544969809e+00 +7.544969809e+00 +1.3256e-01 +3.7312e+00 -1.6651e+00 -8.0175e-01 +4.8774e+00 -3.6321e+00 +3.1692e+00 -3.2322e+00 -5.7279e-01 -2.0200e+00 +3.4614e+00 +1.3991e+00 -4.7888e+00 -3.7193e+00 +3.0694e+00 +3.9415e+00 +3.9231e+00 -4.6754e-01 -5.3739e-01 +2.2525e+00
759239 +2.384648096e+01 +2.384648096e+01 +6.906480959e+00 +6.906480959e+00 +1.1686e+00 +4.0254e+00 -3.4543e+00 +3.9539e-01 +1.4507e+00 -7.2216e-01 +4.3611e+00 +3.0367e+00 -2.7515e+00 -2.9384e+00 +1.4071e+00 +4.6535e+00 -2.7172e+00 -2.4213e-01 +2.6621e+00 +2.6429e+00 +1.5884e+00 +1.1233e+00 +3.3524e+00 -1.3942e+00
