% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.294386249e+05 +7.294386249e+05 +7.295624549e+05 +7.295624549e+05 +4.6302e+00 +9.4287e-01 +2.0063e+00 +3.9700e+00 +1.2748e+00 -1.1996e+00 +4.4495e+00 -2.5876e+00 -2.2109e+00 +1.5593e+00 +3.8123e+00 -2.1446e+00 -1.6580e-01 -4.2460e+00 -8.4390e-01 +4.9740e+00 +2.0109e+00 -2.7428e+00 -3.5457e+00 +2.3368e+00
2 +2.623193688e+05 +2.623193688e+05 +2.624431988e+05 +2.624431988e+05 +3.7664e+00 -1.6993e+00 +3.4280e+00 -4.7031e+00 -3.3106e+00 +1.0189e+00 +2.8696e+00 +5.7728e-01 -3.0978e+00 +3.9985e+00 -3.8934e-01 -1.1556e+00 -3.9806e+00 -2.6672e+00 -1.0212e+00 -4.7882e+00 -1.2376e+00 -2.3598e+00 +6.7753e-01 +3.6049e+00
10 +9.880707212e+04 +9.880707212e+04 +9.893090212e+04 +9.893090212e+04 +7.5078e-01 +8.6891e-01 +2.1663e-01 -1.7700e+00 -8.9894e-02 +1.9637e+00 +5.8526e-01 +1.3698e-01 +1.2832e+00 -3.6446e+00 -3.6355e+00 +9.6236e-01 -1.9890e+00 -5.4603e-01 +2.1600e+00 -1.2790e+00 -2.5665e+00 +1.6288e+00 -4.6248e+00 +4.6015e+00
21 +3.596983788e+04 +3.596983788e+04 +3.609366788e+04 +3.609366788e+04 -1.5210e-01 -1.2352e+00 +4.0413e+00 -3.6912e-01 -1.2378e+00 +1.7140e-01 +7.3129e-01 +3.3385e+00 -1.8923e+00 -8.6885e-01 -1.9000e+00 +1.7453e-01 +2.5829e+00 +1.7474e+00 +6.5661e-01 +2.8890e+00 -6.7741e-01 +3.8894e+00 -1.7259e-01 -1.4639e+00
25463 +2.981336391e+04 +2.981336391e+04 +2.993719391e+04 +2.993719391e+04 -3.4527e-01 -3.6079e+00 -2.8060e-02 -2.7412e+00 +2.3966e+00 +6.8193e-01 +4.3651e+00 -3.7105e-01 -1.4546e+00 +9.4453e-01 -2.2452e+00 -1.8300e+00 -1.0493e+00 -3.7053e-01 +7.0802e-01 -3.1743e+00 -1.3703e+00 +1.1468e+00 +1.0099e+00 -2.6505e+00
38648 +2.543591847e+04 +2.543591847e+04 +2.555974847e+04 +2.555974847e+04 -1.7952e+00 -1.7676e+00 +1.7775e-01 -1.4378e+00 +1.3039e+00 -7.2518e-01 +4.8723e-01 -1.1401e+00 -4.9899e-01 -2.3575e+00 +1.0282e+00 +1.5114e+00 -1.0797e+00 -1.2630e+00 +8.4184e-01 +3.3962e-01 -4.8527e+00 -1.8344e+00 -1.7343e+00 +1.1441e+00
136066 +2.133841033e+04 +2.133841033e+04 +2.146224033e+04 +2.146224033e+04 +7.2020e-01 -9.9801e-01 -3.7043e-01 -1.3624e+00 +1.0193e+00 -5.6394e-01 -1.8375e+00 +1.9191e+00 -1.9929e-01 -7.9246e-01 +1.9664e+00 +1.5216e-01 +1.5213e+00 +4.0548e+00 -1.6283e+00 +1.6895e+00 -6.4293e-01 +1.2340e+00 -5.9969e-01 -8.0888e-01
377752 +1.651255809e+04 +1.651255809e+04 +1.663638809e+04 +1.663638809e+04 -1.7339e+00 -5.6136e-01 +7.4124e-01 -1.6824e-01 +7.8776e-01 +1.3962e+00 +3.7471e+00 -8.1137e-02 +7.4814e-01 +4.8215e-01 -1.3522e+00 +6.5055e-01 -1.2312e-01 +5.3696e-01 -1.7291e-01 +2.5182e+00 -8.4508e-01 +2.5977e+00 +1.1946e+00 +1.6006e+00
398660 +1.385019705e+04 +1.385019705e+04 +1.397402705e+04 +1.397402705e+04 +2.0150e+00 -2.5078e-01 -1.0947e+00 -1.1578e+00 -1.7797e+00 +7.2884e-01 +1.7092e+00 +3.8727e-01 +2.8415e+00 +2.2558e-01 +3.8501e-01 +1.8243e-01 +1.0762e+00 +2.0546e+00 +6.6007e-01 +1.1819e-01 -6.3081e-01 -6.9871e-01 -2.4435e-01 -1.6063e+00
1216006 +1.250407251e+04 +1.250407251e+04 +1.262790251e+04 +1.262790251e+04 +5.8983e-01 -1.9525e+00 +4.2787e-01 +2.3964e+00 +7.6033e-01 -1.7673e-01 -1.2105e-02 +1.5478e+00 -1.9046e+00 +6.9471e-01 -3.4200e+00 -9.0604e-01 -3.8791e-01 -4.5162e-01 -1.0861e+00 -4.3139e-01 -1.8322e-01 +2.3663e+00 -3.4045e-01 -6.7976e-01
2435821 +1.189461023e+04 +1.189461023e+04 +1.201844023e+04 +1.201844023e+04 -3.4459e-01 +2.5382e-01 -5.7258e-01 +6.1614e-01 +2.7678e-01 +5.6016e-01 +4.6260e-01 +3.0945e-01 +2.9198e-01 +2.5378e+00 -3.3464e+00 -1.5234e+00 -1.0685e+00 -2.5735e+00 -1.5567e+00 -1.3846e+00 -1.2990e+00 +1.1661e-03 +1.9415e+00 -6.1796e-01
5320856 +7.432838138e+03 +7.432838138e+03 +7.556668138e+03 +7.556668138e+03 -1.1135e+00 +1.2406e+00 -1.4217e-01 -7.6962e-01 +8.3180e-01 -3.2714e-02 +1.6124e+00 -2.2595e+00 -1.4447e+00 +1.9286e+00 -1.6146e+00 -4.0842e+00 -4.2755e+00 -2.2956e+00 +1.5378e+00 -2.2411e+00 -1.5649e+00 +2.0695e-01 +7.1759e-01 -2.9428e+00
12738485 +6.121271797e+03 +6.121271797e+03 +6.245101797e+03 +6.245101797e+03 -1.0817e+00 +7.7632e-01 +1.1402e+00 -1.7757e+00 -1.3523e+00 +2.9775e-01 +2.5531e+00 -2.1852e+00 -2.1348e+00 +2.1596e+00 -5.5351e-01 -1.4385e+00 +7.3984e-01 -6.5032e-01 +1.5468e+00 -3.5261e+00 -7.8482e-01 -1.1630e+00 -1.0927e-01 -1.3510e+00
186948995 +4.981295153e+03 +4.981295153e+03 +5.105125153e+03 +5.105125153e+03 -6.1596e-01 -1.8236e+00 -1.2508e+00 -4.6231e-01 -6.0439e-02 -8.2031e-01 +5.6365e-01 -7.7238e-01 -9.5605e-02 -8.7467e-01 +4.1829e-01 +1.3705e+00 +6.9532e-01 +6.2920e-01 +2.9245e+00 +2.8888e+00 -2.9502e-01 -1.4817e+00 -2.7333e-01 +4.2815e-01
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.554498797e+05 +1.554498797e+05 +1.554973897e+05 +1.554973897e+05 -1.5565e+00 +3.3043e+00 -1.7587e+00 -1.4772e+00 +1.6055e+00 -5.4666e-01 -2.2423e+00 -2.7227e+00 -2.0285e+00 -2.0596e+00 -2.2207e+00 +6.7256e-01 +4.2913e+00 +2.2072e+00 +3.6286e+00 -3.0243e+00 -3.9288e+00 -1.2495e+00 +1.0719e+00 +1.6684e+00
9 +1.517436712e+05 +1.517436712e+05 +1.517911812e+05 +1.517911812e+05 -1.4375e+00 -2.6982e+00 -2.3830e+00 +1.3512e+00 -4.8768e+00 +8.0910e-01 +2.1825e+00 +4.0251e-01 -2.3180e+00 -6.5490e-01 -1.5708e+00 +4.4757e+00 -4.9192e+00 -2.4509e+00 +3.4766e+00 -2.2076e+00 -1.7378e+00 -8.3330e-01 -2.3360e+00 +1.4782e+00
20 +1.467076496e+05 +1.467076496e+05 +1.467551596e+05 +1.467551596e+05 -2.2658e+00 +1.8423e+00 +3.2935e+00 +1.5547e+00 -6.3648e-01 +3.0175e+00 -1.5449e+00 +3.5056e+00 +1.7049e+00 -3.2585e+00 +3.7141e+00 -3.9987e-01 +2.8356e+00 -8.1634e-01 +3.6128e+00 +4.8194e+00 +2.8044e+00 +1.5663e-01 -1.7950e+00 -3.2034e+00
36 +1.310707176e+05 +1.310707176e+05 +1.311182276e+05 +1.311182276e+05 -1.7691e+00 +8.8151e-01 +7.4480e-01 -4.7309e+00 -2.9470e+00 -3.6298e-01 +4.2344e+00 -4.1537e+00 +1.9008e+00 -1.3907e+00 -3.5053e+00 -1.9277e-01 -2.9559e-01 +1.9137e-01 +1.1218e+00 +4.7730e+00 +1.8079e+00 +2.3277e+00 -2.2006e+00 +1.2968e+00
107 +1.167689741e+05 +1.167689741e+05 +1.168164841e+05 +1.168164841e+05 +4.8954e+00 -4.5072e+00 -3.7385e-01 +1.3708e+00 -3.2503e+00 +8.6817e-01 +2.4386e+00 +3.2731e+00 +2.7733e+00 +3.1453e-01 -8.1594e-01 -3.7347e+00 -2.3329e+00 +6.7659e-01 -1.2516e+00 +3.2492e+00 -1.0130e-01 -2.4208e+00 -7.2354e-02 +2.8667e+00
115 +7.030766836e+04 +7.030766836e+04 +7.035517836e+04 +7.035517836e+04 -4.0502e+00 -1.3194e+00 +2.7398e+00 +1.7355e+00 +1.0594e+00 +4.5286e+00 -3.3660e-01 +8.9245e-01 -2.3327e+00 -1.0154e+00 +2.4354e+00 +3.9921e+00 +4.4093e+00 -2.3658e+00 -1.3945e+00 +3.2312e+00 -1.1651e+00 -1.6650e+00 +9.6592e-01 -3.6792e+00
704 +5.083709810e+04 +5.083709810e+04 +5.088460810e+04 +5.088460810e+04 -2.6682e+00 -1.7620e+00 +1.7440e+00 +3.3537e-01 +1.4444e+00 +1.2755e+00 +2.0735e+00 +2.3789e+00 -9.5706e-01 +2.5733e+00 -4.0773e+00 -3.5051e+00 +2.6760e+00 +1.3526e+00 -1.1564e+00 -7.2204e-01 -3.2817e-01 -1.2548e+00 +3.0028e+00 -2.7450e+00
1898 +4.806454902e+04 +4.806454902e+04 +4.811205902e+04 +4.811205902e+04 +1.1101e+00 -1.7992e+00 -8.5966e-01 +6.2243e-01 -6.2315e-01 +6.0976e-01 +3.1803e+00 +2.9845e+00 -2.6891e+00 +3.7161e+00 -3.2357e-01 +3.4406e+00 +8.5121e-01 -4.4310e+00 +8.2721e-01 +1.3591e+00 +7.1196e-01 +9.2747e-01 -3.4411e-01 -1.4134e+00
3034 +3.234699940e+04 +3.234699940e+04 +3.239450940e+04 +3.239450940e+04 -1.1048e-01 -1.6360e+00 -1.8868e+00 -1.3495e+00 -2.5323e-01 +1.1657e+00 -5.2203e-01 -2.8483e-01 -1.2984e+00 -1.0830e+00 +1.1621e+00 -3.0023e+00 +1.1807e+00 -2.6196e+00 +9.0761e-01 -8.4690e-02 -3.5901e-01 +4.7249e-01 -1.1931e+00 -1.1735e+00
6012 +2.339371275e+04 +2.339371275e+04 +2.344122275e+04 +2.344122275e+04 +1.7617e+00 -1.4404e+00 +1.8225e+00 -3.0286e+00 -2.4472e+00 -1.5006e+00 -4.5508e-01 -1.8472e+00 -4.5100e-01 +8.9069e-01 -1.8194e+00 -8.0422e-01 -3.7412e+00 -7.6524e-01 +1.3847e+00 +5.6728e-01 -8.2595e-01 +5.6775e-01 -3.2729e+00 +1.3046e+00
61768 +1.557128338e+04 +1.557128338e+04 +1.561879338e+04 +1.561879338e+04 +9.9133e-01 +2.5982e-01 +3.6405e-01 +8.4809e-01 -7.3204e-01 +3.8842e+00 -1.4541e+00 +1.3698e+00 -2.0076e+00 -4.5389e-01 +1.9247e+00 +1.4962e+00 -4.2600e-02 -1.6609e+00 -6.6073e-01 +1.7234e+00 -4.2176e-01 +7.9054e-01 +3.1904e+00 -7.1828e-01
757006 +1.208148873e+04 +1.208148873e+04 +1.212899873e+04 +1.212899873e+04 +1.6184e+00 +7.0296e-01 -1.2957e+00 -3.5063e-03 -2.3947e+00 -1.1353e+00 -1.0386e+00 -2.6434e-02 +7.7723e-01 +1.2853e+00 -9.5824e-01 +1.2284e+00 +1.4555e+00 -1.7491e+00 -1.4484e+00 +9.3876e-01 +7.2030e-01 -1.8139e+00 -2.4518e+00 -1.5679e+00
1460994 +5.894681322e+03 +5.894681322e+03 +5.942191322e+03 +5.942191322e+03 +3.5416e-01 -3.8176e-01 +1.2301e-01 -1.5366e+00 -8.2143e-01 +5.6096e-01 +1.4197e+00 -9.8161e-01 +2.8282e+00 -1.1155e+00 -6.1246e-02 +1.7410e+00 +1.3202e+00 +1.2338e+00 -1.2208e+00 -1.5639e+00 +8.3861e-02 +1.5528e+00 +8.2232e-01 +1.4546e+00
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.309254523e+05 +5.309254523e+05 +5.309807923e+05 +5.309807923e+05 -5.5477e-02 -4.5033e+00 +4.7787e+00 -3.7974e+00 -3.5768e+00 -2.3742e+00 -4.2412e+00 -2.3505e+00 +7.7788e-02 -3.9242e+00 +3.0785e+00 +4.6683e+00 -2.4768e+00 -2.3377e-01 -2.5686e+00 +3.8755e+00 +4.2346e-01 +2.3998e+00 +2.3491e+00 -4.4032e+00
2 +3.502577468e+05 +3.502577468e+05 +3.503130868e+05 +3.503130868e+05 +9.8028e-01 -2.9561e+00 -3.4868e+00 -2.0197e+00 -3.5548e-01 -1.9151e+00 +7.9642e-02 -4.8280e+00 -2.7440e-01 +4.3204e+00 +4.7215e+00 -2.6731e+00 +1.0412e-01 +1.5034e+00 -3.4885e+00 +2.3907e+00 +4.1551e+00 +4.5618e+00 -3.8048e+00 -3.0356e+00
3 +2.750101138e+05 +2.750101138e+05 +2.750654538e+05 +2.750654538e+05 +3.1484e+00 -4.0095e+00 +3.0009e+00 -1.2561e+00 -2.5791e+00 +2.4176e-01 +6.3681e-01 +2.0446e+00 +4.5247e+00 +1.3649e+00 -1.0957e+00 +2.2553e-03 -7.6832e-01 +4.4152e+00 -1.6489e+00 +4.4253e+00 -4.6098e-01 -2.4546e+00 +4.9936e+00 +3.0512e+00
5 +1.324594221e+05 +1.324594221e+05 +1.325147621e+05 +1.325147621e+05 +7.0757e-01 -3.1141e+00 -4.0432e+00 +8.8293e-01 -8.1018e-02 +4.9392e+00 -2.4249e+00 -6.8103e-01 -3.7163e+00 +3.2308e+00 +5.2739e-01 -2.3462e+00 -1.7015e+00 -1.0450e+00 +3.6258e-01 -2.8548e+00 +3.3585e+00 -3.7753e+00 -2.1696e-01 +7.0234e-01
19 +1.185940757e+05 +1.185940757e+05 +1.186494157e+05 +1.186494157e+05 -7.7120e-01 -1.0166e+00 +2.8505e+00 +6.8849e-02 -6.7145e-01 -1.8511e+00 +2.8620e-01 +5.1829e-01 -6.7315e-01 +4.3103e+00 -3.0743e+00 +2.5724e+00 -1.1795e+00 -3.0094e+00 -2.2458e+00 +3.0724e-01 +5.9034e-01 -4.4084e+00 +4.1346e+00 -2.1783e+00
74 +9.543651587e+04 +9.543651587e+04 +9.549185587e+04 +9.549185587e+04 -2.3123e+00 +4.8004e-01 -4.7330e+00 -1.5874e+00 -3.7255e+00 +3.7721e+00 +6.1545e-01 +1.7339e+00 +1.9660e+00 -1.3852e+00 -1.7112e-02 +2.8742e+00 -2.2600e+00 -1.6182e-01 -4.4159e+00 +2.7857e+00 +2.7938e-01 -2.0174e-01 -1.2963e+00 +2.1726e+00
234 +8.839537755e+04 +8.839537755e+04 +8.845071755e+04 +8.845071755e+04 +3.4055e+00 -1.2885e+00 -1.4496e+00 +1.2198e+00 -2.5781e-01 -3.6745e+00 +8.9588e-01 +2.9739e-01 +5.9545e-02 -1.0711e+00 +4.5641e+00 +1.9703e+00 +2.7949e+00 +2.1507e+00 -7.6583e-01 -1.2684e-01 +2.1185e-02 +4.2853e+00 -1.8139e+00 -1.0186e+00
365 +8.625003856e+04 +8.625003856e+04 +8.630537856e+04 +8.630537856e+04 -1.5467e+00 -2.5664e+00 +2.9829e+00 +3.1195e+00 -3.3079e+00 +1.3913e+00 -7.0809e-01 -2.2564e+00 -4.6198e+00 -1.6872e+00 -1.4374e+00 +1.6077e+00 +8.3010e-03 -3.5178e+00 +1.8642e+00 +9.6859e-01 +4.6474e-01 +1.6242e+00 -1.6621e+00 +5.0077e-01
